Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,1.37,1.37,1.26,1.26,1.319825327510917030,11450,10,15112.00,11450,100.00,0.11,-0.11
4-January-2021,1.35,1.35,1.32,1.32,1.335351736420302760,5615,9,7498.00,5613,99.96,0.03,-0.03
1-January-2021,1.36,1.36,1.29,1.30,1.295748613678373382,541,6,701.00,541,100.00,0.07,-0.06
31-December-2020,1.31,1.31,1.30,1.30,1.304166666666666666,1200,2,1565.00,1200,100.00,0.01,-0.01
30-December-2020,1.29,1.29,1.26,1.26,1.270685942786834820,6502,5,8262.00,6502,100.00,0.03,-0.03
29-December-2020,1.27,1.27,1.24,1.24,1.264087313753142436,16309,13,20616.00,16309,100.00,0.03,-0.03
28-December-2020,1.21,1.21,1.21,1.21,1.209971014492753623,17250,11,20872.00,17250,100.00,0.00,0.00
24-December-2020,1.16,1.16,1.15,1.16,1.157575757575757575,3300,6,3820.00,3300,100.00,0.01,0.00
23-December-2020,1.11,1.11,1.11,1.11,1.105769230769230769,104,3,115.00,104,100.00,0.00,0.00
22-December-2020,1.01,1.06,1.01,1.06,1.010202827289489858,8135,4,8218.00,8135,100.00,0.05,0.05
21-December-2020,1.03,1.03,1.01,1.01,1.025816649104320337,1898,9,1947.00,1898,100.00,0.02,-0.02
18-December-2020,0.99,0.99,0.99,0.99,0.989891135303265940,2572,6,2546.00,2572,100.00,0.00,0.00
17-December-2020,0.87,0.95,0.87,0.95,0.944679054054054054,2368,6,2237.00,2368,100.00,0.08,0.08
16-December-2020,0.83,0.91,0.83,0.91,0.908722741433021806,3210,9,2917.00,3210,100.00,0.08,0.08
15-December-2020,0.87,0.87,0.87,0.87,0.870000000000000000,5900,9,5133.00,5900,100.00,0.00,0.00
14-December-2020,0.87,0.87,0.87,0.87,0.870000000000000000,2100,4,1827.00,2100,100.00,0.00,0.00
11-December-2020,0.84,0.84,0.83,0.83,0.830390143737166324,2435,9,2022.00,2435,100.00,0.01,-0.01
10-December-2020,0.80,0.80,0.80,0.80,0.800000000000000000,30,3,24.00,30,100.00,0.00,0.00
9-December-2020,0.77,0.77,0.77,0.77,0.769369369369369369,1110,5,854.00,1110,100.00,0.00,0.00
8-December-2020,0.74,0.74,0.74,0.74,0.733333333333333333,120,3,88.00,100,83.33,0.00,0.00
7-December-2020,0.68,0.71,0.68,0.71,0.679939363314805457,9895,6,6728.00,9893,99.98,0.03,0.03
4-December-2020,0.69,0.69,0.68,0.68,0.681470588235294117,3400,4,2317.00,3400,100.00,0.01,-0.01
3-December-2020,0.71,0.71,0.71,0.71,0.709547738693467336,995,1,706.00,995,100.00,0.00,0.00
1-December-2020,0.72,0.72,0.72,0.72,0.720000000000000000,1750,4,1260.00,1750,100.00,0.00,0.00
27-November-2020,0.69,0.75,0.69,0.75,0.730000000000000000,800,3,584.00,800,100.00,0.06,0.06
24-November-2020,0.66,0.72,0.66,0.72,0.712592592592592592,8100,4,5772.00,8100,100.00,0.06,0.06
23-November-2020,0.69,0.69,0.69,0.69,0.690000000000000000,1900,1,1311.00,1900,100.00,0.00,0.00
19-November-2020,0.72,0.72,0.72,0.72,0.500000000000000000,2,1,1.00,2,100.00,0.00,0.00
17-November-2020,0.72,0.72,0.72,0.72,0.719942871981303557,7702,1,5545.00,7702,100.00,0.00,0.00
13-November-2020,0.75,0.75,0.75,0.75,0.746153846153846153,130,2,97.00,130,100.00,0.00,0.00
10-November-2020,0.75,0.75,0.74,0.75,0.744680851063829787,1927,3,1435.00,1927,100.00,0.01,0.00
28-October-2020,0.72,0.72,0.72,0.72,0.720000000000000000,2000,2,1440.00,2000,100.00,0.00,0.00
9-October-2020,0.69,0.69,0.69,0.69,0.689902830587241233,2367,6,1633.00,2367,100.00,0.00,0.00
25-September-2020,0.73,0.73,0.72,0.72,0.712500000000000000,80,2,57.00,80,100.00,0.01,-0.01
22-September-2020,0.74,0.74,0.73,0.73,0.735890014471780028,4146,4,3051.00,4146,100.00,0.01,-0.01
21-September-2020,0.76,0.76,0.76,0.76,0.756302521008403361,119,1,90.00,119,100.00,0.00,0.00
18-September-2020,0.80,0.80,0.80,0.80,0.799112097669256381,901,2,720.00,901,100.00,0.00,0.00
17-September-2020,0.80,0.80,0.80,0.80,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
14-September-2020,0.80,0.80,0.80,0.80,0.800000000000000000,300,2,240.00,300,100.00,0.00,0.00
11-September-2020,0.84,0.84,0.80,0.80,0.801739130434782608,1150,6,922.00,1150,100.00,0.04,-0.04
10-September-2020,0.84,0.84,0.84,0.84,0.840000000000000000,10000,2,8400.00,10000,100.00,0.00,0.00
7-September-2020,0.84,0.84,0.84,0.84,0.831683168316831683,101,2,84.00,101,100.00,0.00,0.00
4-September-2020,0.84,0.84,0.84,0.84,0.840000000000000000,1000,1,840.00,1000,100.00,0.00,0.00
1-September-2020,0.88,0.88,0.84,0.84,0.850852272727272727,704,3,599.00,704,100.00,0.04,-0.04
31-August-2020,0.88,0.88,0.88,0.88,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
26-August-2020,0.84,0.84,0.84,0.84,0.840000000000000000,3000,1,2520.00,3000,100.00,0.00,0.00
25-August-2020,0.88,0.88,0.88,0.88,0.880000000000000000,100,1,88.00,100,100.00,0.00,0.00
24-August-2020,0.88,0.88,0.88,0.88,0.878486055776892430,502,3,441.00,502,100.00,0.00,0.00
21-August-2020,0.84,0.84,0.84,0.84,0.839590443686006825,2051,5,1722.00,2051,100.00,0.00,0.00
20-August-2020,0.88,0.88,0.88,0.88,0.879159369527145359,1142,4,1004.00,1142,100.00,0.00,0.00
12-August-2020,0.92,0.92,0.92,0.92,0.920000000000000000,100,1,92.00,100,100.00,0.00,0.00
6-August-2020,0.92,0.92,0.92,0.92,0.920000000000000000,10000,1,9200.00,10000,100.00,0.00,0.00
22-July-2020,0.92,0.92,0.92,0.92,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
21-July-2020,0.88,0.88,0.88,0.88,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
20-July-2020,0.84,0.84,0.84,0.84,0.840000000000000000,1000,1,840.00,1000,100.00,0.00,0.00
17-July-2020,0.92,0.92,0.88,0.88,0.908256880733944954,109,2,99.00,109,100.00,0.04,-0.04
16-July-2020,0.92,0.92,0.92,0.92,0.833333333333333333,6,1,5.00,6,100.00,0.00,0.00
15-July-2020,0.96,0.96,0.96,0.96,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
13-July-2020,1.00,1.00,0.92,0.92,0.991039426523297491,1116,3,1106.00,1116,100.00,0.08,-0.08
10-July-2020,0.88,0.96,0.88,0.96,0.933208905479269430,7501,4,7000.00,7501,100.00,0.08,0.08
9-July-2020,0.92,0.92,0.92,0.92,0.920000000000000000,2500,1,2300.00,2500,100.00,0.00,0.00
8-July-2020,0.96,0.96,0.96,0.96,0.960000000000000000,2500,1,2400.00,2500,100.00,0.00,0.00
7-July-2020,1.02,1.02,1.01,1.01,1.010003572704537334,2799,3,2827.00,2799,100.00,0.01,-0.01
6-July-2020,1.06,1.06,1.06,1.06,1.059967141292442497,25564,7,27097.00,25564,100.00,0.00,0.00
3-July-2020,1.01,1.01,1.01,1.01,1.010000000000000000,15900,6,16059.00,15900,100.00,0.00,0.00
2-July-2020,0.97,0.97,0.97,0.97,0.970000000000000000,2500,1,2425.00,2500,100.00,0.00,0.00
1-July-2020,0.86,0.93,0.86,0.93,0.927466150870406189,3102,4,2877.00,3102,100.00,0.07,0.07
29-June-2020,0.89,0.89,0.89,0.89,0.889895690654304077,9491,2,8446.00,9491,100.00,0.00,0.00
25-June-2020,0.88,0.88,0.88,0.88,0.880000000000000000,2000,1,1760.00,2000,100.00,0.00,0.00
23-June-2020,0.88,0.88,0.88,0.88,0.876847290640394088,203,3,178.00,203,100.00,0.00,0.00
15-June-2020,0.88,0.88,0.88,0.88,0.880000000000000000,5100,4,4488.00,5100,100.00,0.00,0.00
12-June-2020,0.84,0.84,0.84,0.84,0.840000000000000000,2000,1,1680.00,2000,100.00,0.00,0.00
11-June-2020,0.80,0.80,0.80,0.80,0.800000000000000000,500,1,400.00,500,100.00,0.00,0.00
9-June-2020,0.77,0.77,0.77,0.77,0.770000000000000000,2000,1,1540.00,2000,100.00,0.00,0.00
8-June-2020,0.74,0.74,0.74,0.74,0.600000000000000000,5,1,3.00,5,100.00,0.00,0.00
