Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,15.65,16.15,15.40,15.80,15.802502138579982891,46760,54,738925.00,46760,100.00,0.75,0.15
4-January-2021,15.60,16.30,15.60,16.20,15.719202104340201665,4562,18,71711.00,4562,100.00,0.70,0.60
1-January-2021,15.60,16.40,15.60,16.40,16.111834042246413380,55484,51,893949.00,55484,100.00,0.80,0.80
31-December-2020,16.13,16.60,15.40,16.42,16.016397764420542022,113796,95,1822602.00,113796,100.00,1.20,0.29
30-December-2020,15.60,16.48,15.59,16.21,16.115109457051981606,107211,70,1727717.00,107211,100.00,0.89,0.61
29-December-2020,15.51,16.78,15.20,16.41,16.124981818937394809,48127,74,776047.00,48127,100.00,1.58,0.90
28-December-2020,16.00,16.00,15.20,15.99,15.936318407960199004,30150,39,480480.00,30150,100.00,0.80,-0.01
24-December-2020,15.97,16.00,15.08,16.00,15.895873786407766990,24720,23,392946.00,24720,100.00,0.92,0.03
23-December-2020,15.75,16.50,15.01,15.86,15.673753066230580539,28129,54,440887.00,28129,100.00,1.49,0.11
22-December-2020,15.20,15.89,15.10,15.80,15.821871169821598801,73430,30,1161800.00,73430,100.00,0.79,0.60
21-December-2020,16.60,16.60,15.06,15.89,16.008625426479420371,78257,51,1252787.00,78257,100.00,1.54,-0.71
18-December-2020,15.30,16.30,14.99,15.85,15.951923933555247790,123471,83,1969600.00,123471,100.00,1.31,0.55
17-December-2020,14.30,15.80,14.30,15.77,15.604277051971154765,52279,45,815776.00,52279,100.00,1.50,1.47
16-December-2020,14.85,15.58,14.20,15.05,15.386780766096169519,61350,90,943979.00,61350,100.00,1.38,0.20
15-December-2020,13.53,14.90,13.53,14.84,14.371277093404023078,19239,75,276489.00,19239,100.00,1.37,1.31
14-December-2020,14.26,14.26,12.92,14.24,14.004491066506696066,61678,102,863769.00,61678,100.00,1.34,-0.02
11-December-2020,14.00,14.26,13.59,13.59,13.648648648648648648,703,8,9595.00,703,100.00,0.67,-0.41
