Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,1084.30,1150.00,1081.25,1139.50,1134.325167513123639622,23431,2185,26578373.00,14523,61.98,68.75,55.20
4-January-2021,1100.10,1108.35,1090.90,1093.15,1096.267384477344100493,6687,598,7330740.00,4246,63.50,17.45,-6.95
1-January-2021,1100.00,1106.05,1081.00,1090.55,1091.159633027522935779,1635,205,1784046.00,660,40.37,25.05,-9.45
31-December-2020,1103.90,1114.80,1083.75,1094.60,1094.824372759856630824,1116,197,1221824.00,588,52.69,31.05,-9.30
30-December-2020,1158.00,1158.00,1087.05,1095.70,1105.432299317376652553,11573,1040,12793168.00,8879,76.72,70.95,-62.30
29-December-2020,1155.20,1161.95,1115.00,1128.55,1139.579656293543892243,2153,379,2453515.00,1263,58.66,46.95,-26.65
28-December-2020,1114.00,1148.00,1090.00,1140.60,1129.848495831823124320,5518,568,6234504.00,2786,50.49,58.00,26.60
24-December-2020,1063.05,1108.80,1046.95,1081.15,1084.576346699068448764,9876,1281,10711276.00,5814,58.87,61.85,18.10
23-December-2020,1012.00,1086.00,1012.00,1081.80,1054.741627074901753768,17049,3395,17982290.00,15631,91.68,74.00,69.80
22-December-2020,992.05,1030.00,981.00,999.95,1000.172543628974420272,16732,1197,16734887.00,15148,90.53,49.00,7.90
21-December-2020,1047.00,1093.50,975.00,988.15,1022.666510208871157005,17044,1914,17430328.00,9352,54.87,118.50,-58.85
18-December-2020,1093.55,1100.00,1055.00,1061.15,1077.185208596713021491,3164,352,3408214.00,1637,51.74,45.00,-32.40
17-December-2020,1065.00,1107.50,1039.15,1087.30,1084.503062891369452763,14692,1878,15933519.00,10684,72.72,68.35,22.30
16-December-2020,1037.05,1072.00,1033.00,1040.00,1048.743463629303650012,7726,987,8102592.00,3467,44.87,39.00,2.95
15-December-2020,1050.00,1116.60,1025.00,1044.55,1053.243187448389760528,14532,1825,15305730.00,4431,30.49,91.60,-5.45
14-December-2020,1079.00,1086.90,1055.00,1063.70,1068.784952978056426332,1595,334,1704712.00,1100,68.97,31.90,-15.30
11-December-2020,1108.85,1123.65,1082.15,1088.95,1103.772325809617271835,5095,691,5623720.00,3588,70.42,41.50,-19.90
10-December-2020,1118.40,1118.40,1074.30,1103.45,1094.476995061086560956,7694,1093,8420906.00,4778,62.10,44.10,-14.95
9-December-2020,1157.00,1160.00,1105.20,1114.55,1127.294632206759443339,2515,457,2835146.00,1733,68.91,54.80,-42.45
8-December-2020,1178.00,1198.80,1133.55,1156.15,1175.673204733344140055,6169,843,7252728.00,3904,63.28,65.25,-21.85
7-December-2020,1095.00,1185.00,1095.00,1167.00,1163.081867168733363630,15403,2238,17914950.00,10155,65.93,90.00,72.00
4-December-2020,1095.00,1147.85,1085.95,1119.70,1114.448799337565553408,3623,658,4037648.00,1553,42.86,61.90,24.70
3-December-2020,1095.00,1105.95,1089.00,1092.90,1098.423364790107386918,3073,533,3375455.00,1594,51.87,16.95,-2.10
