Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,1.67,1.67,1.67,1.67,1.669926381716294912,9101,17,15198.00,9101,100.00,0.00,0.00
4-January-2021,1.64,1.64,1.61,1.64,1.612873634208590294,110101,29,177579.00,110101,100.00,0.03,0.00
1-January-2021,1.60,1.61,1.60,1.61,1.603389830508474576,885,3,1419.00,885,100.00,0.01,0.01
31-December-2020,1.59,1.59,1.59,1.59,1.589992242048099301,2578,4,4099.00,2578,100.00,0.00,0.00
30-December-2020,1.52,1.52,1.52,1.52,1.520000000000000000,800,3,1216.00,800,100.00,0.00,0.00
29-December-2020,1.45,1.45,1.45,1.45,1.449550449550449550,1001,2,1451.00,1001,100.00,0.00,0.00
28-December-2020,1.39,1.39,1.39,1.39,1.389897100093545369,5345,6,7429.00,5345,100.00,0.00,0.00
24-December-2020,1.27,1.33,1.27,1.33,1.278934221482098251,1201,5,1536.00,1201,100.00,0.06,0.06
23-December-2020,1.21,1.27,1.15,1.27,1.236988543371522094,6110,16,7558.00,6109,99.98,0.12,0.06
22-December-2020,1.21,1.21,1.21,1.21,1.210000000000000000,1100,3,1331.00,1100,100.00,0.00,0.00
21-December-2020,1.16,1.16,1.16,1.16,1.159893404397068620,1501,6,1741.00,1501,100.00,0.00,0.00
18-December-2020,1.11,1.11,1.11,1.11,1.109478324761204996,1361,5,1510.00,1361,100.00,0.00,0.00
17-December-2020,1.06,1.06,1.06,1.06,1.059936908517350157,4121,6,4368.00,4121,100.00,0.00,0.00
16-December-2020,1.01,1.01,1.01,1.01,1.009898599710284886,4142,2,4183.00,4142,100.00,0.00,0.00
15-December-2020,0.97,0.97,0.97,0.97,0.969538315088053307,2101,3,2037.00,2101,100.00,0.00,0.00
14-December-2020,0.93,0.93,0.93,0.93,0.929978980557015239,22836,7,21237.00,22836,100.00,0.00,0.00
11-December-2020,0.85,0.89,0.85,0.89,0.867873303167420814,1105,8,959.00,1105,100.00,0.04,0.04
10-December-2020,0.81,0.85,0.81,0.85,0.839142091152815013,1492,10,1252.00,1492,100.00,0.04,0.04
9-December-2020,0.85,0.85,0.85,0.85,0.849518810148731408,1143,5,971.00,1143,100.00,0.00,0.00
8-December-2020,0.88,0.88,0.84,0.85,0.860344827586206896,1740,7,1497.00,1740,100.00,0.04,-0.03
7-December-2020,0.88,0.88,0.88,0.88,0.880000000000000000,600,4,528.00,600,100.00,0.00,0.00
4-December-2020,0.92,0.92,0.92,0.92,0.919404835709857408,1613,10,1483.00,1613,100.00,0.00,0.00
3-December-2020,0.93,0.93,0.93,0.93,0.929959331224582015,6639,16,6174.00,6639,100.00,0.00,0.00
2-December-2020,0.94,0.94,0.94,0.94,0.939105613701236917,1051,6,987.00,1051,100.00,0.00,0.00
1-December-2020,0.94,0.94,0.93,0.93,0.932631578947368421,3800,9,3544.00,3800,100.00,0.01,-0.01
27-November-2020,0.95,0.95,0.94,0.94,0.928571428571428571,56,2,52.00,56,100.00,0.01,-0.01
26-November-2020,0.95,0.96,0.95,0.95,0.954883720930232558,2150,6,2053.00,2150,100.00,0.01,0.00
25-November-2020,0.95,0.95,0.95,0.95,0.900000000000000000,10,1,9.00,10,100.00,0.00,0.00
24-November-2020,0.95,0.95,0.95,0.95,0.949105914718019257,727,1,690.00,727,100.00,0.00,0.00
23-November-2020,0.96,0.96,0.95,0.95,0.957373271889400921,2604,7,2493.00,2604,100.00,0.01,-0.01
20-November-2020,0.97,0.97,0.96,0.96,0.965340179717586649,5453,9,5264.00,5453,100.00,0.01,-0.01
19-November-2020,0.97,0.97,0.97,0.97,0.750000000000000000,4,1,3.00,4,100.00,0.00,0.00
18-November-2020,1.00,1.00,0.98,0.98,0.994573260976813024,4054,6,4032.00,4054,100.00,0.02,-0.02
17-November-2020,1.02,1.02,1.00,1.00,1.006591337099811676,2124,9,2138.00,2124,100.00,0.02,-0.02
13-November-2020,1.02,1.02,1.02,1.02,1.020000000000000000,150,2,153.00,150,100.00,0.00,0.00
12-November-2020,1.03,1.04,1.03,1.04,1.036000000000000000,500,4,518.00,500,100.00,0.01,0.01
11-November-2020,1.05,1.05,1.05,1.05,1.049773755656108597,1105,3,1160.00,1105,100.00,0.00,0.00
10-November-2020,1.07,1.07,1.07,1.07,1.070000000000000000,100,1,107.00,100,100.00,0.00,0.00
9-November-2020,1.09,1.09,1.09,1.09,1.085106382978723404,141,3,153.00,141,100.00,0.00,0.00
6-November-2020,1.10,1.11,1.10,1.11,1.106250000000000000,800,3,885.00,800,100.00,0.01,0.01
5-November-2020,1.11,1.11,1.11,1.11,1.108910891089108910,101,2,112.00,101,100.00,0.00,0.00
2-November-2020,1.11,1.11,1.11,1.11,1.101694915254237288,59,3,65.00,59,100.00,0.00,0.00
30-October-2020,1.11,1.11,1.11,1.11,1.110000000000000000,1200,3,1332.00,1200,100.00,0.00,0.00
29-October-2020,1.13,1.13,1.09,1.09,1.106971153846153846,1664,9,1842.00,1664,100.00,0.04,-0.04
28-October-2020,1.11,1.11,1.11,1.11,1.080000000000000000,25,1,27.00,25,100.00,0.00,0.00
27-October-2020,1.11,1.11,1.11,1.11,1.110000000000000000,1000,4,1110.00,1000,100.00,0.00,0.00
26-October-2020,1.12,1.14,1.10,1.10,1.121104185218165627,4492,8,5036.00,4492,100.00,0.04,-0.02
23-October-2020,1.12,1.15,1.12,1.12,1.146833681280445372,1437,8,1648.00,1437,100.00,0.03,0.00
22-October-2020,1.14,1.14,1.14,1.14,1.138121546961325966,362,4,412.00,362,100.00,0.00,0.00
21-October-2020,1.15,1.15,1.15,1.15,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
19-October-2020,1.16,1.16,1.16,1.16,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
16-October-2020,1.18,1.18,1.18,1.18,1.100000000000000000,10,1,11.00,10,100.00,0.00,0.00
9-October-2020,1.18,1.18,1.18,1.18,1.180000000000000000,1550,3,1829.00,1550,100.00,0.00,0.00
7-October-2020,1.19,1.19,1.19,1.19,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
6-October-2020,1.20,1.20,1.20,1.20,1.200000000000000000,5,1,6.00,5,100.00,0.00,0.00
5-October-2020,1.22,1.22,1.22,1.22,1.000000000000000000,2,2,2.00,2,100.00,0.00,0.00
1-October-2020,1.21,1.22,1.21,1.22,1.217500000000000000,800,3,974.00,800,100.00,0.01,0.01
30-September-2020,1.23,1.23,1.23,1.23,1.229836264402668283,4947,6,6084.00,4947,100.00,0.00,0.00
29-September-2020,1.23,1.23,1.23,1.23,1.229508196721311475,2013,4,2475.00,2013,100.00,0.00,0.00
28-September-2020,1.20,1.23,1.19,1.23,1.207056773631479599,6887,14,8313.00,6887,100.00,0.04,0.03
25-September-2020,1.21,1.21,1.21,1.21,1.200000000000000000,30,1,36.00,30,100.00,0.00,0.00
24-September-2020,1.27,1.27,1.27,1.27,1.270000000000000000,800,1,1016.00,800,100.00,0.00,0.00
23-September-2020,1.33,1.33,1.33,1.33,1.330000000000000000,100,1,133.00,100,100.00,0.00,0.00
22-September-2020,1.40,1.40,1.40,1.40,1.400000000000000000,150,2,210.00,150,100.00,0.00,0.00
21-September-2020,1.54,1.54,1.47,1.47,1.470329670329670329,1820,4,2676.00,1820,100.00,0.07,-0.07
18-September-2020,1.55,1.55,1.54,1.54,1.544615384615384615,325,3,502.00,325,100.00,0.01,-0.01
17-September-2020,1.60,1.60,1.60,1.60,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
16-September-2020,1.68,1.68,1.68,1.68,1.680000000000000000,3000,3,5040.00,3000,100.00,0.00,0.00
15-September-2020,1.76,1.76,1.76,1.76,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
14-September-2020,1.85,1.85,1.85,1.85,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
11-September-2020,1.94,1.94,1.94,1.94,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
