Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-January-2021,8.67,8.67,8.65,8.65,8.662131519274376417,441,3,3820.00,441,100.00,0.02,-0.02
1-January-2021,8.26,8.26,8.26,8.26,8.252525252525252525,99,1,817.00,99,100.00,0.00,0.00
31-December-2020,8.69,8.69,8.69,8.69,8.683333333333333333,120,2,1042.00,120,100.00,0.00,0.00
28-December-2020,9.13,9.13,9.13,9.13,9.125000000000000000,120,1,1095.00,120,100.00,0.00,0.00
24-December-2020,9.61,9.61,9.61,9.61,9.600000000000000000,80,3,768.00,80,100.00,0.00,0.00
22-December-2020,9.96,9.96,9.96,9.96,9.956250000000000000,160,1,1593.00,160,100.00,0.00,0.00
21-December-2020,10.48,10.48,10.48,10.48,10.469135802469135802,81,2,848.00,81,100.00,0.00,0.00
18-December-2020,10.30,10.30,9.99,9.99,10.055900621118012422,161,4,1619.00,161,100.00,0.31,-0.31
17-December-2020,9.81,9.81,9.81,9.81,9.807829181494661921,281,4,2756.00,281,100.00,0.00,0.00
15-December-2020,9.35,9.35,9.35,9.35,9.347619047619047619,210,2,1963.00,210,100.00,0.00,0.00
14-December-2020,8.91,8.91,8.91,8.91,8.906666666666666666,150,3,1336.00,150,100.00,0.00,0.00
11-December-2020,8.49,8.49,8.49,8.49,8.475000000000000000,40,1,339.00,40,100.00,0.00,0.00
10-December-2020,8.09,8.09,8.09,8.09,8.075000000000000000,40,1,323.00,40,100.00,0.00,0.00
9-December-2020,7.71,7.71,7.71,7.71,7.666666666666666666,21,2,161.00,21,100.00,0.00,0.00
8-December-2020,7.35,7.35,7.35,7.35,7.347107438016528925,121,2,889.00,121,100.00,0.00,0.00
2-December-2020,6.75,7.00,6.75,7.00,6.833333333333333333,120,2,820.00,120,100.00,0.25,0.25
26-November-2020,6.75,6.75,6.75,6.75,6.000000000000000000,1,1,6.00,1,100.00,0.00,0.00
24-November-2020,7.10,7.10,7.10,7.10,7.100000000000000000,80,2,568.00,80,100.00,0.00,0.00
23-November-2020,7.10,7.10,7.10,7.10,7.100000000000000000,40,1,284.00,40,100.00,0.00,0.00
10-November-2020,6.78,6.78,6.78,6.78,6.775000000000000000,40,1,271.00,40,100.00,0.00,0.00
8-October-2020,7.13,7.13,7.13,7.13,7.130000000000000000,800,2,5704.00,800,100.00,0.00,0.00
7-October-2020,7.64,7.64,7.50,7.50,7.570000000000000000,100,2,757.00,100,100.00,0.14,-0.14
6-October-2020,7.64,7.64,7.64,7.64,7.640000000000000000,200,1,1528.00,200,100.00,0.00,0.00
5-October-2020,8.04,8.04,8.04,8.04,8.000000000000000000,15,1,120.00,15,100.00,0.00,0.00
1-October-2020,7.66,7.66,7.66,7.66,7.658892128279883381,343,4,2627.00,343,100.00,0.00,0.00
25-September-2020,8.06,8.06,8.06,8.06,8.060000000000000000,600,1,4836.00,600,100.00,0.00,0.00
21-September-2020,7.68,7.68,7.68,7.68,7.600000000000000000,10,1,76.00,10,100.00,0.00,0.00
18-September-2020,8.08,8.08,8.08,8.08,8.080000000000000000,1000,5,8080.00,1000,100.00,0.00,0.00
16-September-2020,7.70,7.70,7.70,7.70,7.700000000000000000,160,2,1232.00,160,100.00,0.00,0.00
10-September-2020,8.10,8.10,8.10,8.10,8.100000000000000000,160,2,1296.00,160,100.00,0.00,0.00
7-September-2020,8.10,8.10,8.10,8.10,8.100000000000000000,4050,6,32805.00,4050,100.00,0.00,0.00
4-September-2020,8.05,8.50,8.05,8.50,8.481818181818181818,990,2,8397.00,990,100.00,0.45,0.45
3-September-2020,8.46,8.46,8.46,8.46,8.457142857142857142,280,2,2368.00,280,100.00,0.00,0.00
31-August-2020,9.80,9.80,8.90,8.90,9.636363636363636363,1100,3,10600.00,1100,100.00,0.90,-0.90
28-August-2020,9.35,9.35,9.34,9.34,9.339152119700748129,401,2,3745.00,401,100.00,0.01,-0.01
27-August-2020,8.91,8.91,8.91,8.91,8.900000000000000000,40,1,356.00,40,100.00,0.00,0.00
26-August-2020,8.49,8.49,8.49,8.49,8.000000000000000000,1,1,8.00,1,100.00,0.00,0.00
25-August-2020,8.09,8.09,8.09,8.09,8.000000000000000000,1,1,8.00,1,100.00,0.00,0.00
24-August-2020,7.71,7.71,7.71,7.71,7.000000000000000000,1,1,7.00,1,100.00,0.00,0.00
21-August-2020,7.35,7.35,7.35,7.35,7.000000000000000000,1,1,7.00,1,100.00,0.00,0.00
19-August-2020,7.00,7.00,7.00,7.00,7.000000000000000000,40,1,280.00,40,100.00,0.00,0.00
18-August-2020,6.79,6.79,6.79,6.79,6.775000000000000000,40,1,271.00,40,100.00,0.00,0.00
17-August-2020,6.47,6.47,6.47,6.47,6.468750000000000000,128,1,828.00,128,100.00,0.00,0.00
14-August-2020,6.17,6.17,6.17,6.17,6.166666666666666666,120,1,740.00,120,100.00,0.00,0.00
12-August-2020,5.88,5.88,5.88,5.88,5.879545454545454545,440,2,2587.00,440,100.00,0.00,0.00
3-August-2020,5.60,5.60,5.60,5.60,5.000000000000000000,1,1,5.00,1,100.00,0.00,0.00
31-July-2020,5.86,5.86,5.86,5.86,5.850000000000000000,40,1,234.00,40,100.00,0.00,0.00
28-July-2020,6.80,6.80,6.16,6.16,6.230000000000000000,100,4,623.00,100,100.00,0.64,-0.64
24-July-2020,6.48,6.48,6.48,6.48,6.480000000000000000,500,2,3240.00,500,100.00,0.00,0.00
20-July-2020,6.18,6.18,6.18,6.18,6.166666666666666666,60,2,370.00,60,100.00,0.00,0.00
17-July-2020,6.50,6.50,6.50,6.50,6.500000000000000000,40,1,260.00,40,100.00,0.00,0.00
2-July-2020,6.50,6.50,6.50,6.50,6.500000000000000000,20,1,130.00,20,100.00,0.00,0.00
1-July-2020,6.50,6.50,6.50,6.50,6.000000000000000000,1,1,6.00,1,100.00,0.00,0.00
30-June-2020,6.50,6.50,6.50,6.50,6.500000000000000000,100,1,650.00,100,100.00,0.00,0.00
23-June-2020,6.50,6.50,6.50,6.50,6.500000000000000000,40,1,260.00,40,100.00,0.00,0.00
3-June-2020,6.50,6.50,6.50,6.50,6.498956158663883089,479,1,3113.00,479,100.00,0.00,0.00
1-June-2020,6.50,6.50,6.50,6.50,6.000000000000000000,1,1,6.00,1,100.00,0.00,0.00
27-March-2020,6.50,6.50,6.50,6.50,6.500000000000000000,40,1,260.00,40,100.00,0.00,0.00
22-January-2020,6.42,6.55,6.42,6.55,6.519125683060109289,366,2,2386.00,366,100.00,0.13,0.13
21-January-2020,6.75,6.75,6.75,6.75,6.750000000000000000,280,1,1890.00,280,100.00,0.00,0.00
20-January-2020,7.10,7.10,7.10,7.10,7.100000000000000000,200,1,1420.00,200,100.00,0.00,0.00
9-January-2020,7.05,7.05,7.05,7.05,7.049342105263157894,304,2,2143.00,304,100.00,0.00,0.00
8-January-2020,7.05,7.05,7.05,7.05,7.049019607843137254,102,2,719.00,102,100.00,0.00,0.00
7-January-2020,7.42,7.42,7.42,7.42,7.416666666666666666,192,4,1424.00,192,100.00,0.00,0.00
3-January-2020,7.42,7.42,7.42,7.42,7.400000000000000000,25,1,185.00,25,100.00,0.00,0.00
30-December-2019,7.42,7.42,7.42,7.42,7.400000000000000000,40,1,296.00,40,100.00,0.00,0.00
2-December-2019,7.81,7.81,7.81,7.81,7.750000000000000000,4,1,31.00,4,100.00,0.00,0.00
29-November-2019,8.45,8.63,7.81,8.13,8.128644939965694682,1166,9,9478.00,1166,100.00,0.82,-0.32
28-November-2019,8.22,8.22,8.22,8.22,8.220000000000000000,200,2,1644.00,200,100.00,0.00,0.00
26-November-2019,8.65,8.65,8.65,8.65,8.650000000000000000,40,1,346.00,40,100.00,0.00,0.00
11-November-2019,9.10,9.10,9.10,9.10,9.095477386934673366,199,2,1810.00,199,100.00,0.00,0.00
7-November-2019,9.57,9.57,9.57,9.57,9.557142857142857142,70,1,669.00,70,100.00,0.00,0.00
4-November-2019,8.67,9.57,8.67,9.57,9.485829959514170040,247,3,2343.00,247,100.00,0.90,0.90
31-October-2019,9.50,9.50,9.12,9.12,9.324742268041237113,388,2,3618.00,388,100.00,0.38,-0.38
23-October-2019,9.60,9.60,9.60,9.60,9.597222222222222222,288,4,2764.00,288,100.00,0.00,0.00
22-October-2019,9.55,9.55,9.55,9.55,9.550000000000000000,40,1,382.00,40,100.00,0.00,0.00
18-October-2019,9.55,9.55,9.55,9.55,9.550000000000000000,40,1,382.00,40,100.00,0.00,0.00
10-October-2019,9.12,9.12,9.12,9.12,9.118644067796610169,177,1,1614.00,177,100.00,0.00,0.00
7-October-2019,8.69,8.69,8.69,8.69,8.680000000000000000,25,2,217.00,25,100.00,0.00,0.00
30-September-2019,8.69,8.69,8.69,8.69,8.688888888888888888,360,3,3128.00,360,100.00,0.00,0.00
26-September-2019,9.14,9.14,9.14,9.14,9.100000000000000000,10,1,91.00,10,100.00,0.00,0.00
23-September-2019,9.14,9.14,9.14,9.14,9.128571428571428571,70,2,639.00,70,100.00,0.00,0.00
17-September-2019,9.62,9.62,9.62,9.62,9.618750000000000000,160,1,1539.00,160,100.00,0.00,0.00
13-September-2019,10.12,10.12,10.12,10.12,10.118343195266272189,169,5,1710.00,169,100.00,0.00,0.00
11-September-2019,10.65,10.65,10.65,10.65,10.646341463414634146,246,8,2619.00,246,100.00,0.00,0.00
6-September-2019,11.21,11.21,11.21,11.21,11.207792207792207792,77,1,863.00,77,100.00,0.00,0.00
3-September-2019,11.80,11.80,11.80,11.80,11.000000000000000000,1,1,11.00,1,100.00,0.00,0.00
