Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2020,32.60,32.60,32.55,32.55,32.575000000000000000,6000,2,195450.00,3000,50.00,0.05,-0.05
29-December-2020,32.65,32.65,32.60,32.65,32.625000000000000000,6000,2,195750.00,3000,50.00,0.05,0.00
28-December-2020,30.50,32.10,30.50,31.95,31.670000000000000000,15000,5,475050.00,3000,20.00,1.60,1.45
23-December-2020,32.50,32.50,32.50,32.50,32.500000000000000000,3000,1,97500.00,3000,100.00,0.00,0.00
21-December-2020,35.35,35.35,35.35,35.35,35.350000000000000000,3000,1,106050.00,3000,100.00,0.00,0.00
17-December-2020,35.35,35.35,32.55,32.55,33.950000000000000000,6000,2,203700.00,6000,100.00,2.80,-2.80
16-December-2020,35.35,35.35,32.55,33.95,33.950000000000000000,6000,2,203700.00,6000,100.00,2.80,-1.40
15-December-2020,34.95,34.95,34.95,34.95,34.950000000000000000,6000,2,209700.00,6000,100.00,0.00,0.00
8-December-2020,35.20,35.20,35.20,35.20,35.200000000000000000,3000,1,105600.00,3000,100.00,0.00,0.00
7-December-2020,33.50,35.20,33.50,35.20,34.566666666666666666,9000,3,311100.00,9000,100.00,1.70,1.70
4-December-2020,36.45,36.45,36.45,36.45,36.450000000000000000,3000,1,109350.00,3000,100.00,0.00,0.00
2-December-2020,34.55,34.55,34.50,34.55,34.525000000000000000,6000,2,207150.00,6000,100.00,0.05,0.00
1-December-2020,37.50,37.50,37.50,37.50,37.500000000000000000,3000,1,112500.00,3000,100.00,0.00,0.00
27-November-2020,37.55,37.55,37.55,37.55,37.550000000000000000,3000,1,112650.00,3000,100.00,0.00,0.00
25-November-2020,37.55,37.55,37.55,37.55,37.550000000000000000,6000,2,225300.00,6000,100.00,0.00,0.00
20-November-2020,37.35,37.35,37.35,37.35,37.350000000000000000,3000,1,112050.00,3000,100.00,0.00,0.00
19-November-2020,37.55,37.55,37.55,37.55,37.550000000000000000,3000,1,112650.00,3000,100.00,0.00,0.00
18-November-2020,37.00,37.55,37.00,37.55,37.275000000000000000,6000,2,223650.00,6000,100.00,0.55,0.55
17-November-2020,35.50,35.50,35.50,35.50,35.500000000000000000,6000,2,213000.00,6000,100.00,0.00,0.00
14-November-2020,35.00,35.50,35.00,35.25,35.266666666666666666,9000,3,317400.00,0,0.00,0.50,0.25
13-November-2020,34.55,34.55,34.55,34.55,34.550000000000000000,3000,1,103650.00,3000,100.00,0.00,0.00
12-November-2020,37.55,37.55,37.55,37.55,37.550000000000000000,3000,1,112650.00,3000,100.00,0.00,0.00
11-November-2020,37.55,37.55,37.50,37.50,37.512500000000000000,12000,4,450150.00,12000,100.00,0.05,-0.05
10-November-2020,37.45,37.45,37.45,37.45,37.450000000000000000,3000,1,112350.00,3000,100.00,0.00,0.00
9-November-2020,37.55,37.55,37.50,37.50,37.533333333333333333,9000,3,337800.00,9000,100.00,0.05,-0.05
6-November-2020,34.55,36.90,34.55,36.90,35.725000000000000000,6000,2,214350.00,6000,100.00,2.35,2.35
5-November-2020,36.00,37.50,36.00,37.50,36.833333333333333333,9000,3,331500.00,6000,66.67,1.50,1.50
