Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,32.85,32.85,32.05,32.25,32.356781426728842147,10079,113,326124.00,7595,75.35,0.80,-0.60
4-January-2021,32.70,33.00,31.85,32.65,32.591001963062377308,24961,225,813504.00,18218,72.99,1.15,-0.05
1-January-2021,32.75,32.85,31.95,32.50,32.603539923094322551,17684,203,576561.00,16196,91.59,0.90,-0.25
31-December-2020,32.75,33.85,32.00,32.25,32.528065584276863917,37448,366,1218111.00,29581,78.99,1.85,-0.50
30-December-2020,33.65,33.65,32.00,32.90,32.775010720058053237,60634,600,1987280.00,21886,36.10,1.65,-0.75
29-December-2020,31.00,34.30,29.20,33.40,32.764839378643815784,153342,1334,5024226.00,78506,51.20,5.10,2.40
28-December-2020,31.15,31.15,29.65,30.50,30.485845881310894596,28225,237,860463.00,21916,77.65,1.50,-0.65
24-December-2020,30.00,31.80,29.75,30.30,30.561450638012088650,17868,235,546072.00,13667,76.49,2.05,0.30
23-December-2020,28.35,30.00,26.25,29.85,29.168420673250198226,27746,264,809307.00,18558,66.89,3.75,1.50
22-December-2020,28.80,28.90,26.50,28.25,27.787938155247273112,18886,213,524803.00,14457,76.55,2.40,-0.55
21-December-2020,30.00,31.30,26.20,28.05,29.349394797836724182,38830,407,1139637.00,27243,70.16,5.10,-1.95
18-December-2020,31.30,31.40,30.00,30.40,30.476051493198519831,19187,158,584744.00,13821,72.03,1.40,-0.90
17-December-2020,32.60,32.65,31.25,31.30,31.928135179153094462,34384,230,1097817.00,28451,82.74,1.40,-1.30
16-December-2020,31.35,32.70,31.00,32.10,31.627271269773407439,37424,253,1183619.00,23412,62.56,1.70,0.75
15-December-2020,31.80,32.20,30.90,31.10,31.347726827995564542,30662,267,961184.00,19522,63.67,1.30,-0.70
14-December-2020,32.00,35.00,31.60,31.90,31.933266114849813585,42647,291,1361858.00,29914,70.14,3.40,-0.10
11-December-2020,30.10,33.00,30.10,31.70,31.237169646931917188,48206,343,1505819.00,37714,78.24,2.90,1.60
10-December-2020,31.90,31.90,28.90,30.05,30.310043238993710691,20352,202,616870.00,17129,84.16,3.00,-1.85
9-December-2020,32.90,32.90,30.65,31.55,31.562350393252023253,70184,625,2215172.00,59785,85.18,2.25,-1.35
8-December-2020,35.00,35.55,32.00,33.00,33.148921336999883806,51638,442,1711744.00,30868,59.78,3.55,-2.00
7-December-2020,33.35,35.30,31.00,34.60,33.481752736309088979,160161,1284,5362471.00,72039,44.98,4.30,1.25
4-December-2020,29.80,30.55,28.05,30.40,29.296130246257056369,61115,542,1790433.00,34767,56.89,2.50,0.60
3-December-2020,26.00,28.25,26.00,27.80,27.666484298063245431,63973,267,1769908.00,41902,65.50,2.25,1.80
2-December-2020,25.80,26.25,25.30,25.90,26.096652267818574514,7408,88,193324.00,6076,82.02,0.95,0.10
1-December-2020,25.50,26.25,25.50,26.00,26.013583777460028597,15386,104,400245.00,7655,49.75,0.75,0.50
27-November-2020,25.95,26.30,25.70,25.95,25.942244602121004043,13107,169,340025.00,7993,60.98,0.60,0.00
26-November-2020,25.90,26.10,25.55,25.95,25.866308199926677257,16366,172,423328.00,12341,75.41,0.55,0.05
25-November-2020,27.40,27.40,25.70,25.95,26.053289003511170493,32183,284,838473.00,23001,71.47,1.70,-1.45
24-November-2020,26.50,26.80,25.80,26.15,26.012261688157582469,12641,142,328821.00,7931,62.74,1.00,-0.35
23-November-2020,28.70,28.70,26.00,26.35,26.590865384615384615,10400,132,276545.00,9289,89.32,2.70,-2.35
20-November-2020,26.35,27.65,26.00,27.05,26.895727906522164064,46043,292,1238360.00,39117,84.96,1.65,0.70
19-November-2020,26.95,27.00,26.45,26.60,26.659587171613783691,11724,139,312557.00,10620,90.58,0.55,-0.35
18-November-2020,26.00,27.15,25.85,26.65,26.538049744687860319,12142,147,322225.00,7602,62.61,1.30,0.65
17-November-2020,25.50,26.50,25.00,25.85,25.744785826418479479,66885,828,1721940.00,49212,73.58,1.50,0.35
14-November-2020,25.45,25.85,24.75,25.25,25.267847557702630166,9315,80,235370.00,7568,81.25,1.10,-0.20
13-November-2020,25.25,25.45,24.95,25.25,25.173475097929490766,7148,66,179940.00,4529,63.36,0.50,0.00
12-November-2020,24.75,25.05,24.70,24.75,24.895792241946088099,6084,47,151466.00,5441,89.43,0.35,0.00
11-November-2020,23.55,24.80,23.55,24.55,24.368212604752611640,17422,418,424543.00,13882,79.68,1.25,1.00
10-November-2020,24.95,25.35,24.35,24.50,24.673942558746736292,9575,131,236253.00,6312,65.92,1.00,-0.45
9-November-2020,25.75,26.00,25.35,25.35,25.600702987697715289,2845,67,72834.00,1579,55.50,0.65,-0.40
6-November-2020,23.75,25.65,23.75,25.10,24.688100762346702021,24136,279,595872.00,21030,87.13,1.90,1.35
5-November-2020,23.95,23.95,23.15,23.45,23.539414846045739108,7827,89,184243.00,5825,74.42,0.80,-0.50
4-November-2020,23.70,23.85,23.15,23.30,23.546864686468646864,3030,40,71347.00,2315,76.40,0.70,-0.40
3-November-2020,23.25,23.75,22.80,23.45,23.520287431084680666,16143,203,379688.00,14987,92.84,0.95,0.20
2-November-2020,24.20,24.25,22.80,23.10,23.432183771591381254,16847,218,394762.00,13749,81.61,1.45,-1.10
30-October-2020,24.55,24.95,24.35,24.45,24.627110694183864915,6396,97,157515.00,5449,85.19,0.60,-0.10
29-October-2020,24.45,25.00,23.75,24.50,24.375317895864007495,7471,85,182108.00,6419,85.92,1.25,0.05
28-October-2020,25.00,25.00,24.35,24.75,24.645193558067420226,9997,127,246378.00,7056,70.58,0.65,-0.25
27-October-2020,23.45,25.25,23.45,25.00,24.822439024390243902,1025,28,25443.00,820,80.00,1.80,1.55
26-October-2020,24.10,26.00,24.10,25.00,25.231254191817572099,14910,155,376198.00,9527,63.90,1.90,0.90
23-October-2020,25.00,25.85,25.00,25.50,25.502291204730229120,13530,119,345046.00,11435,84.52,0.85,0.50
22-October-2020,25.00,25.15,24.50,25.05,24.842683611852267939,28484,230,707619.00,22236,78.06,0.65,0.05
21-October-2020,24.00,26.00,24.00,25.00,25.107346682941312308,30313,289,761079.00,22645,74.70,2.00,1.00
20-October-2020,26.20,26.20,24.00,24.55,24.926720357228291204,37623,345,937818.00,24566,65.30,2.20,-1.65
19-October-2020,27.75,27.75,26.00,26.10,26.442553671042993181,17747,199,469276.00,13970,78.72,1.75,-1.65
16-October-2020,30.70,30.70,27.70,27.85,28.199417479448904899,52187,464,1471643.00,22945,43.97,3.00,-2.85
15-October-2020,27.70,30.35,27.60,30.35,29.311724557185885213,36189,394,1060762.00,21663,59.86,2.75,2.65
14-October-2020,55.90,58.25,54.60,55.25,55.984315970234688036,17470,343,978046.00,11701,66.98,3.65,-0.65
13-October-2020,55.40,56.05,54.40,55.90,55.463489886870071991,20419,419,1132509.00,13413,65.69,1.65,0.50
12-October-2020,54.50,55.80,54.45,54.75,54.988267445695707487,21223,388,1167016.00,15835,74.61,1.35,0.25
9-October-2020,53.55,53.95,53.05,53.25,53.574213933415536374,12976,205,695179.00,9355,72.09,0.90,-0.30
8-October-2020,53.45,55.60,52.05,52.80,53.576462631044978018,14785,256,792128.00,8162,55.20,3.55,-0.65
7-October-2020,52.25,54.35,51.80,53.70,53.612174865382860271,54785,544,2937143.00,28829,52.62,2.55,1.45
6-October-2020,51.50,52.05,51.45,51.80,51.763057067957249445,4959,80,256693.00,4354,87.80,0.60,0.30
5-October-2020,53.00,53.10,51.75,51.75,52.107637514839730906,2527,42,131676.00,2306,91.25,1.35,-1.25
1-October-2020,52.00,53.40,51.05,51.75,52.026222651222651222,6216,109,323395.00,4804,77.28,2.35,-0.25
30-September-2020,51.65,52.30,51.10,51.30,51.667472468439430566,3723,88,192358.00,3136,84.23,1.20,-0.35
29-September-2020,53.40,53.40,51.10,52.00,51.920326576576576576,3552,117,184421.00,2647,74.52,2.30,-1.40
28-September-2020,51.50,52.55,51.25,52.15,52.096261314443132624,12705,270,661883.00,11317,89.08,1.30,0.65
25-September-2020,51.05,51.50,50.45,51.20,51.020442151324168108,30623,998,1562399.00,16397,53.54,1.05,0.15
24-September-2020,52.50,52.50,50.40,50.45,50.736713452136886926,12682,512,643443.00,10463,82.50,2.10,-2.05
23-September-2020,50.15,53.55,50.15,52.45,52.454956482423420368,8847,148,464069.00,6199,70.07,3.40,2.30
22-September-2020,51.75,53.70,49.25,52.00,50.557399067709567828,12657,231,639905.00,9405,74.31,4.45,0.25
21-September-2020,54.40,54.65,51.75,51.80,52.663658824793210871,9309,216,490246.00,8150,87.55,2.90,-2.60
18-September-2020,56.65,58.00,54.30,54.45,55.764493314748851375,19371,304,1080214.00,11597,59.87,3.70,-2.20
17-September-2020,59.70,60.45,55.70,57.15,58.435161818745295966,22587,252,1319875.00,13145,58.20,4.75,-2.55
16-September-2020,56.40,57.80,56.40,57.80,57.420994086997248404,17081,144,980808.00,13893,81.34,1.40,1.40
15-September-2020,52.35,55.05,52.35,55.05,54.324591708542713567,6368,92,345939.00,4352,68.34,2.70,2.70
14-September-2020,53.40,53.40,51.80,52.45,52.357254901960784313,5100,87,267022.00,3162,62.00,1.60,-0.95
11-September-2020,53.00,53.40,51.60,51.85,52.562443729903536977,7775,95,408673.00,6290,80.90,1.80,-1.15
10-September-2020,54.15,54.15,52.00,52.60,52.479448855674918262,17128,207,898868.00,13705,80.02,2.15,-1.55
9-September-2020,54.35,54.35,51.50,51.60,52.274081141624491827,24106,384,1260119.00,19193,79.62,2.85,-2.75
8-September-2020,55.45,56.00,52.70,54.20,53.782604258359166698,78387,477,4215857.00,31690,40.43,3.30,-1.25
7-September-2020,60.00,60.00,55.45,55.45,56.660323110624315443,36520,182,2069235.00,28888,79.10,4.55,-4.55
4-September-2020,59.90,61.75,56.40,58.35,59.619185564054979706,66279,740,3951500.00,39975,60.31,5.35,-1.55
3-September-2020,58.40,58.95,56.15,58.85,58.400238869351735120,30142,335,1760300.00,23110,76.67,2.80,0.45
2-September-2020,53.65,57.10,53.65,56.15,56.131449893390191897,28140,325,1579539.00,22348,79.42,3.45,2.50
1-September-2020,55.35,56.00,55.30,55.30,55.470208566704005974,18747,200,1039900.00,16775,89.48,0.70,-0.05
31-August-2020,62.55,62.70,58.20,58.20,59.256057866184448462,38710,378,2293802.00,30676,79.25,4.50,-4.35
28-August-2020,65.30,66.70,61.00,61.25,63.142956839166845608,74512,800,4704908.00,47839,64.20,5.70,-4.05
