Company1,Company2,Value
1,1,1.0
1,2,-0.04221269974432041
1,3,0.07436512628219341
1,4,0.25619941783510486
1,5,-0.13828894030575226
1,6,0.5960745878433463
1,7,-0.017580878839375102
1,8,0.5449498251605109
1,9,0.5855023961603553
1,10,0.507989514356928
1,11,-0.2883698033104901
1,12,-0.12084650350043322
1,13,-0.17422887071815424
1,14,-0.2296059938212914
1,15,0.7335162360965287
1,16,-0.11907240716667425
1,17,-0.17871012360065264
1,18,-0.40699367196311526
1,19,-0.009308029302687894
1,20,-0.18135968043418277
1,21,-0.25517623301993336
1,22,0.6623188951743733
1,23,0.0697494692420028
1,24,0.49654710466871393
1,25,0.35176072289344373
1,26,0.10208390594912291
1,27,0.3426749300077368
1,28,-0.3994201150854931
1,29,-0.2800609382829703
1,30,-0.12332806238939613
2,1,-0.04221269974432041
2,2,1.0
2,3,-0.4292174819528095
2,4,-0.22770510314311357
2,5,0.32199820417822034
2,6,-0.03909791976446046
2,7,0.12598465816092186
2,8,-0.12898331920990655
2,9,-0.07632274396300046
2,10,0.3708900729814163
2,11,0.5417000114520549
2,12,-0.1204224105314708
2,13,0.6053557339352711
2,14,0.42161255015513166
2,15,-0.10633154350127717
2,16,0.624001649527742
2,17,-0.1836443499276271
2,18,-0.15036847670899411
2,19,-0.18319205789878137
2,20,0.2886691134546565
2,21,0.1820849047413651
2,22,0.02415441336539275
2,23,-0.25564579213531435
2,24,0.16922506579237298
2,25,0.04690026166237374
2,26,0.1954013627037718
2,27,0.03111298935191592
2,28,-0.14592490649320633
2,29,0.5753580381117543
2,30,0.024263672650790505
3,1,0.07436512628219341
3,2,-0.4292174819528095
3,3,1.0
3,4,-0.27403331068191433
3,5,0.32687846410918975
3,6,0.02397452900182424
3,7,-0.018204453108920274
3,8,0.4959555194078389
3,9,0.41335761155705514
3,10,-0.15548147130777162
3,11,0.009661666633710098
3,12,0.7679036698330534
3,13,-0.11058223000739832
3,14,-0.5144530835333907
