Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,28.00,28.00,27.80,27.80,27.900000000000000000,6000,2,167400.00,3000,50.00,0.20,-0.20
29-December-2020,28.00,28.00,28.00,28.00,28.000000000000000000,3000,1,84000.00,3000,100.00,0.00,0.00
21-December-2020,30.30,30.30,30.30,30.30,30.300000000000000000,3000,1,90900.00,3000,100.00,0.00,0.00
11-November-2020,33.00,33.00,33.00,33.00,33.000000000000000000,60000,10,1980000.00,60000,100.00,0.00,0.00
6-November-2020,33.00,33.00,33.00,33.00,33.000000000000000000,9000,1,297000.00,9000,100.00,0.00,0.00
5-November-2020,30.30,33.00,30.30,33.00,32.325000000000000000,12000,3,387900.00,9000,75.00,2.70,2.70
4-November-2020,33.00,33.00,33.00,33.00,33.000000000000000000,45000,12,1485000.00,45000,100.00,0.00,0.00
3-November-2020,33.00,33.00,33.00,33.00,33.000000000000000000,12000,2,396000.00,12000,100.00,0.00,0.00
2-November-2020,33.00,33.00,33.00,33.00,33.000000000000000000,9000,1,297000.00,9000,100.00,0.00,0.00
29-October-2020,33.00,33.00,33.00,33.00,33.000000000000000000,9000,3,297000.00,9000,100.00,0.00,0.00
26-October-2020,30.30,30.30,30.30,30.30,30.300000000000000000,3000,1,90900.00,3000,100.00,0.00,0.00
23-October-2020,33.00,33.00,33.00,33.00,33.000000000000000000,21000,3,693000.00,21000,100.00,0.00,0.00
12-October-2020,33.00,33.00,33.00,33.00,33.000000000000000000,15000,2,495000.00,15000,100.00,0.00,0.00
1-October-2020,33.00,33.00,33.00,33.00,33.000000000000000000,93000,31,3069000.00,93000,100.00,0.00,0.00
29-September-2020,33.00,33.00,33.00,33.00,33.000000000000000000,105000,31,3465000.00,105000,100.00,0.00,0.00
25-September-2020,33.25,33.25,33.00,33.05,33.071428571428571428,21000,7,694500.00,18000,85.71,0.25,-0.20
24-September-2020,33.00,33.25,33.00,33.25,33.125000000000000000,12000,4,397500.00,9000,75.00,0.25,0.25
23-September-2020,33.00,33.00,33.00,33.00,33.000000000000000000,3000,1,99000.00,3000,100.00,0.00,0.00
21-September-2020,33.00,33.00,33.00,33.00,33.000000000000000000,18000,6,594000.00,18000,100.00,0.00,0.00
17-September-2020,33.00,33.00,33.00,33.00,33.000000000000000000,12000,2,396000.00,12000,100.00,0.00,0.00
15-September-2020,33.00,33.00,32.00,32.00,32.500000000000000000,12000,3,390000.00,12000,100.00,1.00,-1.00
11-September-2020,31.25,33.25,30.30,30.75,31.318750000000000000,24000,7,751650.00,18000,75.00,2.95,-0.50
