Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-January-2021,55.80,55.80,55.80,55.80,55.800000000000000000,30,3,1674.00,30,100.00,0.00,0.00
31-December-2020,55.80,55.80,55.80,55.80,55.800000000000000000,50,7,2790.00,50,100.00,0.00,0.00
30-December-2020,55.80,55.80,55.80,55.80,55.666666666666666666,3,1,167.00,3,100.00,0.00,0.00
29-December-2020,55.80,55.80,55.80,55.80,55.777777777777777777,18,8,1004.00,18,100.00,0.00,0.00
21-December-2020,55.80,56.40,55.80,56.40,56.100000000000000000,100,2,5610.00,100,100.00,0.60,0.60
11-December-2020,55.80,55.80,55.80,55.80,55.800000000000000000,5,1,279.00,5,100.00,0.00,0.00
12-October-2020,54.35,56.10,54.35,54.35,54.541666666666666666,24,3,1309.00,24,100.00,1.75,0.00
7-October-2020,56.10,56.10,56.10,56.10,56.100000000000000000,10,1,561.00,10,100.00,0.00,0.00
6-October-2020,55.80,55.80,55.80,55.80,55.800000000000000000,50,1,2790.00,50,100.00,0.00,0.00
30-September-2020,55.90,55.90,55.90,55.90,55.896551724137931034,58,4,3242.00,58,100.00,0.00,0.00
29-September-2020,54.35,54.35,54.35,54.35,54.000000000000000000,1,1,54.00,1,100.00,0.00,0.00
28-September-2020,54.35,54.35,54.35,54.35,54.333333333333333333,15,1,815.00,15,100.00,0.00,0.00
23-September-2020,51.80,51.80,51.80,51.80,51.000000000000000000,1,1,51.00,1,100.00,0.00,0.00
18-September-2020,49.35,49.35,49.35,49.35,49.000000000000000000,1,1,49.00,1,100.00,0.00,0.00
17-September-2020,45.95,47.00,45.95,47.00,46.666666666666666666,6,2,280.00,6,100.00,1.05,1.05
16-September-2020,45.90,45.95,45.90,45.95,45.916666666666666666,60,2,2755.00,60,100.00,0.05,0.05
14-August-2020,45.55,45.55,45.55,45.55,45.540540540540540540,37,2,1685.00,37,100.00,0.00,0.00
4-August-2020,45.55,45.55,45.55,45.55,45.538461538461538461,26,2,1184.00,26,100.00,0.00,0.00
31-July-2020,45.55,45.55,45.55,45.55,45.000000000000000000,1,1,45.00,1,100.00,0.00,0.00
10-July-2020,45.55,45.55,45.55,45.55,45.000000000000000000,1,1,45.00,1,100.00,0.00,0.00
2-July-2020,45.55,45.55,45.55,45.55,45.000000000000000000,1,1,45.00,1,100.00,0.00,0.00
3-June-2020,45.55,45.55,45.55,45.55,45.333333333333333333,3,1,136.00,3,100.00,0.00,0.00
2-June-2020,47.80,47.80,47.80,47.80,47.800000000000000000,10,1,478.00,10,100.00,0.00,0.00
28-May-2020,50.25,50.25,50.25,50.25,50.250000000000000000,8,1,402.00,8,100.00,0.00,0.00
20-May-2020,52.85,52.85,52.85,52.85,52.800000000000000000,10,1,528.00,10,100.00,0.00,0.00
19-May-2020,55.30,55.30,55.30,55.30,55.000000000000000000,3,1,165.00,3,100.00,0.00,0.00
18-May-2020,55.30,55.30,55.30,55.30,55.285714285714285714,7,1,387.00,7,100.00,0.00,0.00
13-May-2020,58.10,58.10,58.10,58.10,58.066666666666666666,15,1,871.00,15,100.00,0.00,0.00
12-May-2020,61.10,61.10,61.10,61.10,61.066666666666666666,15,1,916.00,15,100.00,0.00,0.00
11-May-2020,64.20,64.20,64.20,64.20,64.200000000000000000,75,1,4815.00,75,100.00,0.00,0.00
30-April-2020,67.50,67.50,67.50,67.50,67.500000000000000000,200,3,13500.00,200,100.00,0.00,0.00
15-April-2020,67.50,67.50,67.50,67.50,67.000000000000000000,1,1,67.00,1,100.00,0.00,0.00
20-March-2020,71.00,71.00,71.00,71.00,71.000000000000000000,2,2,142.00,2,100.00,0.00,0.00
19-March-2020,71.75,71.75,71.00,71.00,71.000000000000000000,5,2,355.00,5,100.00,0.75,-0.75
27-February-2020,71.75,71.75,71.75,71.75,71.745098039215686274,51,1,3659.00,51,100.00,0.00,0.00
19-February-2020,72.00,72.00,72.00,72.00,72.000000000000000000,2,1,144.00,2,100.00,0.00,0.00
18-February-2020,72.00,72.00,72.00,72.00,72.000000000000000000,1,1,72.00,1,100.00,0.00,0.00
17-February-2020,72.75,72.75,72.50,72.50,72.500000000000000000,8,6,580.00,8,100.00,0.25,-0.25
14-February-2020,72.75,72.75,72.75,72.75,72.500000000000000000,2,2,145.00,2,100.00,0.00,0.00
7-February-2020,73.80,73.80,73.80,73.80,73.000000000000000000,1,1,73.00,1,100.00,0.00,0.00
15-January-2020,74.20,74.20,74.20,74.20,74.000000000000000000,1,1,74.00,1,100.00,0.00,0.00
9-January-2020,74.30,74.30,74.30,74.30,74.000000000000000000,1,1,74.00,1,100.00,0.00,0.00
8-January-2020,76.40,76.40,76.40,76.40,76.400000000000000000,100,1,7640.00,100,100.00,0.00,0.00
6-January-2020,74.90,74.90,74.90,74.90,74.000000000000000000,1,1,74.00,1,100.00,0.00,0.00
30-December-2019,76.55,76.55,76.55,76.55,76.500000000000000000,6,1,459.00,6,100.00,0.00,0.00
26-December-2019,77.25,77.25,77.25,77.25,77.000000000000000000,2,1,154.00,2,100.00,0.00,0.00
12-December-2019,77.30,77.30,77.25,77.25,77.000000000000000000,3,2,231.00,3,100.00,0.05,-0.05
11-December-2019,73.75,73.75,73.75,73.75,73.750000000000000000,40,5,2950.00,40,100.00,0.00,0.00
10-December-2019,70.95,70.95,70.95,70.95,70.900000000000000000,10,1,709.00,10,100.00,0.00,0.00
4-December-2019,68.25,68.25,68.25,68.25,68.000000000000000000,3,1,204.00,3,100.00,0.00,0.00
3-December-2019,68.25,68.25,68.05,68.25,68.227272727272727272,110,3,7505.00,110,100.00,0.20,0.00
27-November-2019,69.00,69.00,69.00,69.00,69.000000000000000000,1,1,69.00,1,100.00,0.00,0.00
11-November-2019,69.00,69.00,69.00,69.00,69.000000000000000000,1,1,69.00,1,100.00,0.00,0.00
4-November-2019,69.00,69.00,69.00,69.00,69.000000000000000000,10,1,690.00,10,100.00,0.00,0.00
30-October-2019,72.00,72.00,70.00,70.00,70.333333333333333333,24,2,1688.00,24,100.00,2.00,-2.00
29-October-2019,70.50,70.50,70.50,70.50,70.500000000000000000,4,3,282.00,4,100.00,0.00,0.00
25-October-2019,67.95,68.00,67.95,68.00,67.900000000000000000,10,2,679.00,10,100.00,0.05,0.05
24-October-2019,66.00,66.00,66.00,66.00,66.000000000000000000,2,1,132.00,2,100.00,0.00,0.00
23-October-2019,66.00,66.00,66.00,66.00,66.000000000000000000,5,1,330.00,5,100.00,0.00,0.00
18-October-2019,63.75,63.75,63.75,63.75,63.733333333333333333,30,2,1912.00,30,100.00,0.00,0.00
17-October-2019,60.75,60.75,60.75,60.75,60.600000000000000000,5,2,303.00,5,100.00,0.00,0.00
16-October-2019,57.50,57.90,57.50,57.90,57.777777777777777777,9,4,520.00,9,100.00,0.40,0.40
14-October-2019,57.50,57.50,57.50,57.50,57.466666666666666666,15,1,862.00,15,100.00,0.00,0.00
9-October-2019,57.50,57.50,57.50,57.50,57.500000000000000000,2,1,115.00,2,100.00,0.00,0.00
20-September-2019,56.50,56.50,56.50,56.50,56.500000000000000000,10,1,565.00,10,100.00,0.00,0.00
6-September-2019,56.00,56.00,56.00,56.00,56.000000000000000000,50,1,2800.00,50,100.00,0.00,0.00
4-September-2019,56.00,56.00,56.00,56.00,56.000000000000000000,50,1,2800.00,50,100.00,0.00,0.00
31-July-2019,56.00,56.00,56.00,56.00,56.000000000000000000,3,1,168.00,3,100.00,0.00,0.00
29-July-2019,53.55,53.55,53.55,53.55,53.548000000000000000,250,3,13387.00,250,100.00,0.00,0.00
26-July-2019,53.55,53.55,53.55,53.55,53.400000000000000000,5,1,267.00,5,100.00,0.00,0.00
18-July-2019,52.55,52.55,52.55,52.55,52.500000000000000000,2,1,105.00,2,100.00,0.00,0.00
12-July-2019,52.15,52.15,52.15,52.15,52.100000000000000000,10,1,521.00,10,100.00,0.00,0.00
15-May-2019,52.60,52.60,52.60,52.60,52.000000000000000000,1,1,52.00,1,100.00,0.00,0.00
9-April-2019,53.55,53.55,51.80,52.60,52.677777777777777777,90,9,4741.00,90,100.00,1.75,-0.95
5-April-2019,54.00,54.00,53.00,53.00,53.438461538461538461,130,11,6947.00,130,100.00,1.00,-1.00
4-April-2019,54.05,54.05,53.65,53.65,53.880000000000000000,50,5,2694.00,50,100.00,0.40,-0.40
3-April-2019,54.00,54.00,53.50,53.50,53.634782608695652173,115,9,6168.00,115,100.00,0.50,-0.50
2-April-2019,54.05,54.05,53.90,53.90,53.950000000000000000,20,2,1079.00,20,100.00,0.15,-0.15
25-March-2019,54.20,54.20,54.20,54.20,54.200000000000000000,100,1,5420.00,100,100.00,0.00,0.00
12-March-2019,56.90,56.90,56.90,56.90,56.900000000000000000,400,2,22760.00,400,100.00,0.00,0.00
29-January-2019,57.05,57.05,57.05,57.05,57.000000000000000000,1,1,57.00,1,100.00,0.00,0.00
21-January-2019,57.90,57.95,52.55,57.05,54.790441911617676464,5001,6,274007.00,1,0.02,5.40,-0.85
11-January-2019,55.25,55.25,55.25,55.25,55.000000000000000000,1,1,55.00,1,100.00,0.00,0.00
10-January-2019,55.25,55.25,55.25,55.25,55.200000000000000000,10,1,552.00,10,100.00,0.00,0.00
9-January-2019,55.25,55.25,55.25,55.25,55.250000000000000000,20,2,1105.00,20,100.00,0.00,0.00
27-December-2018,55.00,55.00,55.00,55.00,55.000000000000000000,12,6,660.00,12,100.00,0.00,0.00
26-December-2018,54.55,54.85,54.55,54.85,54.600000000000000000,60,6,3276.00,60,100.00,0.30,0.30
5-December-2018,55.25,55.25,55.25,55.25,55.250000000000000000,4,4,221.00,4,100.00,0.00,0.00
10-October-2018,52.65,52.65,52.65,52.65,52.000000000000000000,1,1,52.00,1,100.00,0.00,0.00
17-September-2018,52.75,52.75,52.75,52.75,52.666666666666666666,9,9,474.00,9,100.00,0.00,0.00
14-September-2018,52.70,52.70,52.70,52.70,52.666666666666666666,9,5,474.00,9,100.00,0.00,0.00
5-September-2018,53.00,53.00,52.70,52.75,52.727272727272727272,11,2,580.00,11,100.00,0.30,-0.25
3-September-2018,53.75,53.75,53.00,53.00,53.175000000000000000,200,5,10635.00,200,100.00,0.75,-0.75
16-August-2018,53.90,53.90,53.90,53.90,53.857142857142857142,7,2,377.00,7,100.00,0.00,0.00
13-August-2018,53.90,53.90,53.90,53.90,53.000000000000000000,1,1,53.00,1,100.00,0.00,0.00
6-July-2018,54.45,54.45,54.45,54.45,54.000000000000000000,1,1,54.00,1,100.00,0.00,0.00
4-July-2018,54.45,54.45,54.45,54.45,54.446153846153846153,65,1,3539.00,65,100.00,0.00,0.00
27-April-2018,54.55,54.55,54.55,54.55,54.000000000000000000,1,1,54.00,1,100.00,0.00,0.00
23-April-2018,54.50,54.55,54.50,54.55,54.545454545454545454,11,2,600.00,11,100.00,0.05,0.05
20-April-2018,54.50,54.50,54.50,54.50,54.500000000000000000,100,1,5450.00,100,100.00,0.00,0.00
9-April-2018,53.00,54.00,53.00,54.00,53.500000000000000000,200,2,10700.00,200,100.00,1.00,1.00
27-March-2018,51.80,51.80,51.80,51.80,51.782608695652173913,46,1,2382.00,46,100.00,0.00,0.00
19-March-2018,51.80,51.80,51.80,51.80,51.000000000000000000,1,1,51.00,1,100.00,0.00,0.00
6-March-2018,51.90,51.90,51.90,51.90,51.500000000000000000,2,2,103.00,2,100.00,0.00,0.00
1-February-2018,49.45,49.45,49.45,49.45,49.437500000000000000,32,1,1582.00,32,100.00,0.00,0.00
23-January-2018,49.40,49.40,49.40,49.40,49.333333333333333333,3,1,148.00,3,100.00,0.00,0.00
18-January-2018,49.60,49.60,49.60,49.60,49.333333333333333333,3,1,148.00,3,100.00,0.00,0.00
29-December-2017,50.00,50.00,49.00,49.00,49.500000000000000000,200,2,9900.00,200,100.00,1.00,-1.00
8-December-2017,49.40,49.40,49.40,49.40,49.398406374501992031,502,4,24798.00,502,100.00,0.00,0.00
7-December-2017,49.40,49.40,49.40,49.40,49.400000000000000000,5,1,247.00,5,100.00,0.00,0.00
17-November-2017,49.40,49.40,49.40,49.40,49.333333333333333333,3,1,148.00,3,100.00,0.00,0.00
23-October-2017,52.00,52.00,52.00,52.00,52.000000000000000000,200,1,10400.00,200,100.00,0.00,0.00
19-October-2017,49.55,49.55,49.55,49.55,49.500000000000000000,6,1,297.00,6,100.00,0.00,0.00
6-October-2017,43.35,47.60,43.35,47.60,43.777777777777777777,9,3,394.00,7,77.78,4.25,4.25
5-October-2017,45.60,45.60,45.60,45.60,45.571428571428571428,7,1,319.00,7,100.00,0.00,0.00
4-October-2017,47.95,47.95,47.95,47.95,47.928571428571428571,28,2,1342.00,28,100.00,0.00,0.00
3-October-2017,43.55,45.70,43.55,45.70,45.462962962962962962,54,5,2455.00,54,100.00,2.15,2.15
29-September-2017,40.75,43.55,40.75,43.55,42.400000000000000000,25,2,1060.00,15,60.00,2.80,2.80
25-September-2017,41.15,41.95,41.15,41.95,41.540000000000000000,50,2,2077.00,50,100.00,0.80,0.80
15-September-2017,40.00,40.00,40.00,40.00,40.000000000000000000,25,1,1000.00,25,100.00,0.00,0.00
14-September-2017,39.40,39.40,39.00,39.00,39.200000000000000000,50,2,1960.00,50,100.00,0.40,-0.40
13-September-2017,37.75,37.75,37.75,37.75,37.720000000000000000,25,1,943.00,25,100.00,0.00,0.00
15-May-2017,37.55,37.55,37.55,37.55,37.500000000000000000,10,1,375.00,10,100.00,0.00,0.00
10-May-2017,36.65,36.65,36.65,36.65,36.600000000000000000,10,1,366.00,10,100.00,0.00,0.00
8-May-2017,36.15,36.15,36.15,36.15,36.100000000000000000,10,1,361.00,10,100.00,0.00,0.00
4-May-2017,35.95,35.95,35.95,35.95,35.900000000000000000,10,1,359.00,10,100.00,0.00,0.00
3-May-2017,35.15,35.15,35.15,35.15,35.100000000000000000,10,1,351.00,10,100.00,0.00,0.00
10-February-2017,33.50,33.50,33.50,33.50,33.500000000000000000,30,1,1005.00,30,100.00,0.00,0.00
24-January-2017,32.25,32.25,32.25,32.25,32.240000000000000000,25,1,806.00,25,100.00,0.00,0.00
19-January-2017,31.60,31.60,31.60,31.60,31.600000000000000000,25,1,790.00,25,100.00,0.00,0.00
16-January-2017,30.90,30.90,30.90,30.90,30.880000000000000000,25,1,772.00,25,100.00,0.00,0.00
11-January-2017,29.90,29.90,29.90,29.90,29.880000000000000000,25,1,747.00,25,100.00,0.00,0.00
9-January-2017,28.50,28.50,28.50,28.50,28.500000000000000000,50,1,1425.00,50,100.00,0.00,0.00
4-January-2017,27.80,27.80,27.80,27.80,27.800000000000000000,100,1,2780.00,100,100.00,0.00,0.00
22-December-2016,26.50,26.50,26.50,26.50,26.500000000000000000,50,1,1325.00,50,100.00,0.00,0.00
21-December-2016,25.25,25.25,25.25,25.25,25.250000000000000000,100,1,2525.00,100,100.00,0.00,0.00
16-December-2016,24.50,24.50,24.50,24.50,24.480000000000000000,25,1,612.00,25,100.00,0.00,0.00
15-December-2016,24.00,24.00,24.00,24.00,24.000000000000000000,25,1,600.00,25,100.00,0.00,0.00
14-December-2016,23.10,23.10,23.10,23.10,23.083333333333333333,36,1,831.00,36,100.00,0.00,0.00
7-December-2016,22.00,22.00,22.00,22.00,22.000000000000000000,100,1,2200.00,100,100.00,0.00,0.00
6-December-2016,22.25,22.25,22.25,22.25,22.250000000000000000,36,1,801.00,36,100.00,0.00,0.00
8-November-2016,23.25,23.25,23.25,23.25,23.250000000000000000,3000,3,69750.00,2500,83.33,0.00,0.00
4-November-2016,22.50,22.50,22.50,22.50,22.500000000000000000,5000,3,112500.00,5000,100.00,0.00,0.00
3-November-2016,23.50,23.50,23.50,23.50,23.500000000000000000,5000,4,117500.00,5000,100.00,0.00,0.00
2-November-2016,23.50,23.50,23.50,23.50,23.500000000000000000,5000,3,117500.00,5000,100.00,0.00,0.00
1-November-2016,23.50,23.50,23.50,23.50,23.500000000000000000,6000,4,141000.00,6000,100.00,0.00,0.00
28-October-2016,24.30,24.30,23.50,23.50,23.500124968757810547,4001,4,94024.00,4001,100.00,0.80,-0.80
26-October-2016,23.25,23.25,23.25,23.25,23.250000000000000000,6000,5,139500.00,6000,100.00,0.00,0.00
25-October-2016,23.50,23.50,23.50,23.50,23.500000000000000000,500,1,11750.00,500,100.00,0.00,0.00
24-October-2016,23.50,23.50,23.50,23.50,23.500000000000000000,2500,2,58750.00,2500,100.00,0.00,0.00
21-October-2016,23.25,23.25,23.25,23.25,23.250000000000000000,4500,3,104625.00,4500,100.00,0.00,0.00
20-October-2016,23.50,23.50,23.50,23.50,23.499892078566803367,4633,4,108875.00,4633,100.00,0.00,0.00
19-October-2016,23.50,23.50,23.25,23.25,23.356232825380964276,4003,5,93495.00,4003,100.00,0.25,-0.25
18-October-2016,22.75,23.00,22.75,22.75,22.916666666666666666,7500,6,171875.00,7500,100.00,0.25,0.00
17-October-2016,22.50,22.50,22.50,22.50,22.500000000000000000,5000,3,112500.00,5000,100.00,0.00,0.00
14-October-2016,22.00,22.25,22.00,22.25,22.085615985179303956,7557,10,166901.00,7467,98.81,0.25,0.25
10-October-2016,22.00,22.00,22.00,22.00,22.000000000000000000,2000,2,44000.00,2000,100.00,0.00,0.00
9-September-2016,21.25,21.25,21.25,21.25,21.000000000000000000,1,1,21.00,1,100.00,0.00,0.00
8-September-2016,20.50,20.50,20.50,20.50,20.500000000000000000,100,1,2050.00,100,100.00,0.00,0.00
2-September-2016,20.50,20.50,20.50,20.50,20.500000000000000000,1000,1,20500.00,1000,100.00,0.00,0.00
31-August-2016,21.50,21.50,21.50,21.50,21.500000000000000000,2,1,43.00,2,100.00,0.00,0.00
29-August-2016,20.50,20.50,20.50,20.50,20.500000000000000000,1000,1,20500.00,1000,100.00,0.00,0.00
25-August-2016,20.70,20.70,20.70,20.70,20.700000000000000000,1700,1,35190.00,1700,100.00,0.00,0.00
