Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-January-2021,2.99,2.99,2.71,2.97,2.966845958732842828,55589,71,164924.00,55589,100.00,0.28,-0.02
6-January-2021,3.02,3.03,2.85,2.85,2.907510729613733905,4660,8,13549.00,4660,100.00,0.18,-0.17
5-January-2021,3.00,3.00,2.88,2.99,2.953828828828828828,888,7,2623.00,888,100.00,0.12,-0.01
4-January-2021,3.03,3.03,2.76,3.03,2.879198125488154126,3841,12,11059.00,3841,100.00,0.27,0.00
1-January-2021,2.71,2.89,2.63,2.89,2.659273489346838980,5726,10,15227.00,5726,100.00,0.26,0.18
31-December-2020,2.72,2.99,2.71,2.76,2.858077617328519855,13296,38,38001.00,13296,100.00,0.28,0.04
30-December-2020,2.85,3.00,2.85,2.85,2.907337367624810892,2644,12,7687.00,2644,100.00,0.15,0.00
29-December-2020,2.99,2.99,2.99,2.99,2.900000000000000000,10,1,29.00,10,100.00,0.00,0.00
28-December-2020,3.04,3.04,2.76,2.85,2.975332565203728920,19094,26,56811.00,19094,100.00,0.28,-0.19
24-December-2020,2.77,2.90,2.77,2.90,2.852573713143428285,14007,22,39956.00,14007,100.00,0.13,0.13
23-December-2020,2.91,2.91,2.65,2.91,2.858862876254180602,4485,6,12822.00,4485,100.00,0.26,0.00
22-December-2020,2.54,2.79,2.54,2.78,2.595859585958595859,1111,6,2884.00,1111,100.00,0.25,0.24
21-December-2020,2.67,2.67,2.67,2.67,2.668863261943986820,607,7,1620.00,607,100.00,0.00,0.00
18-December-2020,2.36,2.59,2.36,2.55,2.523890063424947145,7095,14,17907.00,7095,100.00,0.23,0.19
17-December-2020,2.36,2.47,2.36,2.47,2.417148714944716994,13657,19,33011.00,13657,100.00,0.11,0.11
16-December-2020,2.36,2.36,2.36,2.36,2.300000000000000000,10,1,23.00,10,100.00,0.00,0.00
15-December-2020,2.13,2.25,2.13,2.25,2.149206349206349206,315,5,677.00,315,100.00,0.12,0.12
14-December-2020,2.24,2.24,2.15,2.15,2.235714285714285714,4200,4,9390.00,4200,100.00,0.09,-0.09
11-December-2020,1.94,2.14,1.94,2.14,1.957365977205571971,2369,4,4637.00,2369,100.00,0.20,0.20
10-December-2020,2.24,2.24,2.04,2.04,2.184955389190852220,19502,24,42611.00,19502,100.00,0.20,-0.20
9-December-2020,2.14,2.14,2.14,2.14,2.139802631578947368,3040,7,6505.00,3040,100.00,0.00,0.00
8-December-2020,2.02,2.04,2.02,2.04,2.037290242386575512,1609,6,3278.00,1609,100.00,0.02,0.02
7-December-2020,1.90,1.95,1.90,1.95,1.900000000000000000,1010,2,1919.00,1010,100.00,0.05,0.05
4-December-2020,2.00,2.00,2.00,2.00,2.000000000000000000,848,3,1696.00,848,100.00,0.00,0.00
3-December-2020,1.94,1.94,1.94,1.94,1.940000000000000000,600,2,1164.00,600,100.00,0.00,0.00
2-December-2020,1.92,1.92,1.80,1.85,1.868053691275167785,7450,4,13917.00,7450,100.00,0.12,-0.07
1-December-2020,1.82,1.83,1.82,1.83,1.821176470588235294,425,3,774.00,425,100.00,0.01,0.01
27-November-2020,1.90,2.05,1.87,1.91,1.970909090909090909,1100,5,2168.00,1100,100.00,0.18,0.01
26-November-2020,2.04,2.10,1.95,1.96,1.965761875385564466,3242,13,6373.00,3242,100.00,0.15,-0.08
25-November-2020,2.04,2.04,2.04,2.04,2.040000000000000000,100,2,204.00,100,100.00,0.00,0.00
23-November-2020,2.15,2.36,2.14,2.14,2.197560975609756097,820,6,1802.00,820,100.00,0.22,-0.01
20-November-2020,2.25,2.25,2.25,2.25,2.250000000000000000,3060,9,6885.00,3060,100.00,0.00,0.00
19-November-2020,2.35,2.35,2.35,2.35,2.350000000000000000,600,1,1410.00,600,100.00,0.00,0.00
18-November-2020,2.45,2.45,2.45,2.45,2.450000000000000000,100,1,245.00,100,100.00,0.00,0.00
17-November-2020,2.57,2.57,2.57,2.57,2.570000000000000000,500,2,1285.00,500,100.00,0.00,0.00
14-November-2020,2.47,2.47,2.47,2.47,2.460000000000000000,50,1,123.00,50,100.00,0.00,0.00
13-November-2020,2.37,2.37,2.37,2.37,2.000000000000000000,1,1,2.00,1,100.00,0.00,0.00
12-November-2020,2.40,2.50,2.28,2.28,2.328571428571428571,700,3,1630.00,700,100.00,0.22,-0.12
9-November-2020,2.40,2.40,2.40,2.40,2.400000000000000000,500,1,1200.00,500,100.00,0.00,0.00
3-November-2020,2.52,2.52,2.52,2.52,2.520000000000000000,500,1,1260.00,500,100.00,0.00,0.00
26-October-2020,2.70,2.70,2.65,2.65,2.664084507042253521,7100,3,18915.00,7100,100.00,0.05,-0.05
22-October-2020,2.78,2.78,2.78,2.78,2.780000000000000000,50,1,139.00,50,100.00,0.00,0.00
12-October-2020,2.92,2.92,2.92,2.92,2.919879062736205593,3969,2,11589.00,3969,100.00,0.00,0.00
28-September-2020,3.07,3.07,3.07,3.07,3.069921875000000000,2560,4,7859.00,2560,100.00,0.00,0.00
25-September-2020,3.23,3.23,3.23,3.23,3.230000000000000000,1000,2,3230.00,1000,100.00,0.00,0.00
15-September-2020,3.14,3.40,3.14,3.40,3.278260869565217391,230,3,754.00,230,100.00,0.26,0.26
11-September-2020,3.36,3.36,3.30,3.30,3.320293398533007334,409,5,1358.00,409,100.00,0.06,-0.06
10-September-2020,3.47,3.47,3.47,3.47,3.000000000000000000,1,1,3.00,1,100.00,0.00,0.00
8-September-2020,3.32,3.36,3.04,3.34,3.168037602820211515,851,6,2696.00,851,100.00,0.32,0.02
4-September-2020,3.25,3.25,3.20,3.20,3.212735166425470332,691,6,2220.00,691,100.00,0.05,-0.05
3-September-2020,3.25,3.25,3.25,3.25,3.250000000000000000,300,2,975.00,300,100.00,0.00,0.00
1-September-2020,3.37,3.37,3.25,3.25,3.250803858520900321,311,3,1011.00,311,100.00,0.12,-0.12
31-August-2020,3.21,3.49,3.21,3.21,3.239917269906928645,967,10,3133.00,967,100.00,0.28,0.00
28-August-2020,3.45,3.45,3.17,3.37,3.256256256256256256,1998,16,6506.00,1998,100.00,0.28,-0.08
27-August-2020,3.40,3.43,3.15,3.32,3.357178464606181455,4012,9,13469.00,4012,100.00,0.28,-0.08
26-August-2020,3.42,3.59,3.25,3.29,3.366838103756708407,8944,21,30113.00,8944,100.00,0.34,-0.13
25-August-2020,3.42,3.59,3.42,3.42,3.481379310344827586,2175,12,7572.00,2175,100.00,0.17,0.00
24-August-2020,3.69,3.69,3.52,3.60,3.580487804878048780,410,4,1468.00,410,100.00,0.17,-0.09
21-August-2020,3.88,3.88,3.52,3.70,3.556818181818181818,176,8,626.00,176,100.00,0.36,-0.18
20-August-2020,3.70,3.70,3.38,3.70,3.430547466511357018,6868,12,23561.00,6868,100.00,0.32,0.00
19-August-2020,3.85,3.85,3.55,3.55,3.550500614790093096,5693,10,20213.00,5693,100.00,0.30,-0.30
18-August-2020,3.88,3.88,3.53,3.71,3.794928335170893054,907,13,3442.00,907,100.00,0.35,-0.17
17-August-2020,3.60,3.70,3.50,3.70,3.613388927495946258,4317,15,15599.00,4317,100.00,0.20,0.10
14-August-2020,3.40,3.62,3.28,3.60,3.426615969581749049,1315,8,4506.00,1315,100.00,0.34,0.20
13-August-2020,3.45,3.45,3.45,3.45,3.449645390070921985,1410,3,4864.00,1410,100.00,0.00,0.00
12-August-2020,3.05,3.30,3.05,3.30,3.050149850149850149,5005,2,15266.00,5005,100.00,0.25,0.25
11-August-2020,3.30,3.46,3.15,3.20,3.197375615090213231,1829,9,5848.00,1829,100.00,0.31,-0.10
10-August-2020,3.30,3.30,3.30,3.30,3.300000000000000000,70,2,231.00,70,100.00,0.00,0.00
7-August-2020,3.30,3.30,3.10,3.30,3.236352357320099255,1612,9,5217.00,1612,100.00,0.20,0.00
6-August-2020,3.15,3.15,3.15,3.15,3.149965308752106254,10089,6,31780.00,10089,100.00,0.00,0.00
5-August-2020,3.15,3.15,3.15,3.15,3.100000000000000000,10,1,31.00,10,100.00,0.00,0.00
4-August-2020,3.00,3.15,3.00,3.00,3.001185770750988142,5060,11,15186.00,5060,100.00,0.15,0.00
3-August-2020,3.15,3.15,3.00,3.00,3.075124378109452736,2010,4,6181.00,2010,100.00,0.15,-0.15
31-July-2020,3.00,3.00,3.00,3.00,3.000000000000000000,10015,4,30045.00,10015,100.00,0.00,0.00
30-July-2020,2.84,3.10,2.84,2.88,2.853333333333333333,225,6,642.00,225,100.00,0.26,0.04
29-July-2020,2.70,2.98,2.70,2.98,2.695652173913043478,46,2,124.00,46,100.00,0.28,0.28
28-July-2020,2.84,2.84,2.84,2.84,2.838983050847457627,118,3,335.00,118,100.00,0.00,0.00
27-July-2020,2.85,2.98,2.85,2.98,2.897669995244888254,10515,3,30469.00,10515,100.00,0.13,0.13
24-July-2020,2.85,2.85,2.85,2.85,2.849968213604577240,11011,5,31381.00,11011,100.00,0.00,0.00
23-July-2020,3.01,3.18,3.00,3.00,3.007289293849658314,15365,10,46207.00,15365,100.00,0.18,-0.01
22-July-2020,3.20,3.20,3.00,3.15,3.184110007639419404,1309,11,4168.00,1309,100.00,0.20,-0.05
21-July-2020,3.05,3.05,3.05,3.05,3.000000000000000000,11,1,33.00,11,100.00,0.00,0.00
20-July-2020,3.10,3.15,2.85,3.15,2.886468646864686468,1515,9,4373.00,1515,100.00,0.30,0.05
17-July-2020,3.00,3.00,3.00,3.00,3.000000000000000000,199,1,597.00,199,100.00,0.00,0.00
16-July-2020,3.10,3.10,3.10,3.10,3.096969696969696969,165,1,511.00,165,100.00,0.00,0.00
