Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-January-2021,474.00,479.00,443.60,450.55,450.430340557275541795,1938,182,872934.00,1346,69.45,35.40,-23.45
6-January-2021,444.50,446.00,443.55,445.75,445.198717948717948717,156,19,69451.00,103,66.03,2.45,1.25
5-January-2021,442.80,445.25,441.65,443.00,442.748175182481751824,274,50,121313.00,143,52.19,3.60,0.20
4-January-2021,442.85,451.00,434.00,442.50,441.918776875298614429,2093,177,924936.00,1514,72.34,17.00,-0.35
1-January-2021,441.00,455.90,440.50,444.30,448.539792387543252595,867,92,388884.00,620,71.51,15.40,3.30
31-December-2020,453.35,453.35,437.75,439.00,441.550000000000000000,520,74,229606.00,325,62.50,15.60,-14.35
30-December-2020,443.50,443.50,435.00,436.20,436.957665903890160183,874,136,381901.00,771,88.22,8.50,-7.30
29-December-2020,435.00,444.50,430.30,440.75,433.600790513833992094,506,60,219402.00,421,83.20,14.20,5.75
28-December-2020,429.50,442.25,429.50,429.80,432.782655246252676659,934,91,404219.00,674,72.16,12.75,0.30
24-December-2020,427.40,430.00,420.00,430.00,424.729032258064516129,775,87,329165.00,669,86.32,10.00,2.60
23-December-2020,417.00,432.30,417.00,425.05,423.980769230769230769,208,75,88188.00,153,73.56,15.30,8.05
22-December-2020,382.00,429.35,382.00,415.10,404.119291705498602050,2146,268,867240.00,1348,62.81,47.35,33.10
21-December-2020,431.85,448.00,401.55,421.20,429.776192599197503343,2243,225,963988.00,1493,66.56,46.45,-10.65
18-December-2020,444.90,444.90,407.60,437.00,423.215512137359384251,1689,74,714811.00,1335,79.04,37.30,-7.90
17-December-2020,447.70,449.65,432.00,435.90,440.977617328519855595,4155,514,1832262.00,3917,94.27,17.65,-11.80
16-December-2020,440.00,452.00,431.05,448.95,445.788744225115497690,4762,412,2122846.00,3702,77.74,20.95,8.95
15-December-2020,419.75,431.05,418.30,426.55,423.968692449355432780,543,99,230215.00,514,94.66,12.75,6.80
14-December-2020,421.15,427.70,418.85,426.35,424.954545454545454545,220,56,93490.00,195,88.64,8.85,5.20
11-December-2020,420.65,423.10,410.00,416.25,413.765883376849434290,1149,189,475417.00,908,79.03,13.10,-4.40
10-December-2020,421.25,425.35,408.30,415.85,414.166555629580279813,1501,342,621664.00,1100,73.28,17.05,-5.40
9-December-2020,433.55,435.00,415.10,419.15,426.960458679319889284,2529,261,1079783.00,1940,76.71,19.90,-14.40
8-December-2020,432.15,432.50,425.00,426.75,428.419117647058823529,816,123,349590.00,710,87.01,7.50,-5.40
7-December-2020,428.65,432.90,419.65,430.15,425.323870967741935483,775,80,329626.00,515,66.45,13.25,1.50
4-December-2020,432.90,438.00,419.60,422.95,424.595358762336623099,3749,325,1591808.00,3224,86.00,18.40,-9.95
3-December-2020,430.00,455.00,422.05,441.10,442.830303030303030303,5940,642,2630412.00,3488,58.72,32.95,11.10
2-December-2020,403.55,430.00,402.65,427.85,421.263397947548460661,3508,330,1477792.00,2378,67.79,27.35,24.30
1-December-2020,399.95,414.90,390.50,399.85,401.550724637681159420,897,182,360191.00,355,39.58,24.40,-0.10
27-November-2020,408.70,418.20,400.10,405.05,406.821772639691714836,1038,173,422281.00,644,62.04,18.10,-3.65
26-November-2020,395.00,414.00,381.05,408.45,395.859065155807365439,2824,274,1117906.00,1560,55.24,32.95,13.45
25-November-2020,407.15,420.00,390.20,412.05,402.116036505867014341,1534,198,616846.00,1237,80.64,29.80,4.90
24-November-2020,417.80,435.00,409.20,413.55,417.878326996197718631,263,40,109902.00,187,71.10,25.80,-4.25
23-November-2020,440.00,455.00,406.95,414.55,427.356797020484171322,2685,302,1147453.00,1978,73.67,48.05,-25.45
20-November-2020,437.00,442.00,430.00,439.95,436.144527098831030818,941,42,410412.00,550,58.45,12.00,2.95
19-November-2020,459.00,461.00,438.00,438.25,449.979653679653679653,2310,165,1039453.00,1598,69.18,23.00,-20.75
18-November-2020,437.55,445.75,432.00,441.25,439.164377392479171357,4441,538,1950329.00,3001,67.57,13.75,3.70
17-November-2020,416.10,454.40,416.10,437.55,441.114141713608064037,10119,642,4463634.00,8106,80.11,38.30,21.45
14-November-2020,430.00,431.00,409.20,428.10,426.322987901104681746,5703,296,2431320.00,4162,72.98,21.80,-1.90
13-November-2020,374.00,414.00,373.55,405.85,395.261614949425681467,23332,2399,9222244.00,13827,59.26,40.45,31.85
12-November-2020,352.80,363.00,331.00,360.40,348.226006191950464396,3230,401,1124770.00,1744,53.99,32.00,7.60
11-November-2020,340.05,350.20,339.40,342.30,342.688372093023255813,1720,155,589424.00,1390,80.81,10.80,2.25
10-November-2020,356.25,366.00,345.00,346.00,352.796280400572246065,3495,322,1233023.00,1753,50.16,21.00,-10.25
9-November-2020,365.00,367.95,352.05,358.20,362.602177554438860971,1194,207,432947.00,719,60.22,15.90,-6.80
6-November-2020,335.60,367.90,335.60,362.65,358.410991167811579980,5095,736,1826104.00,3044,59.74,32.30,27.05
5-November-2020,336.00,337.90,330.10,333.70,334.053539019963702359,1102,136,368127.00,765,69.42,7.80,-2.30
4-November-2020,337.15,339.00,328.25,329.90,333.072379367720465890,1202,190,400353.00,1078,89.68,10.75,-7.25
3-November-2020,339.70,339.70,330.10,337.10,333.754237288135593220,1298,125,433213.00,1116,85.98,9.60,-2.60
2-November-2020,350.00,354.20,331.00,337.05,341.230274442538593481,2332,260,795749.00,1871,80.23,23.20,-12.95
30-October-2020,367.15,367.15,343.10,346.55,349.831560283687943262,564,91,197305.00,335,59.40,24.05,-20.60
29-October-2020,369.90,369.90,350.00,357.90,355.967959380197846450,11423,2671,4066222.00,10743,94.05,19.90,-12.00
28-October-2020,386.85,386.85,364.90,372.25,377.224309392265193370,905,129,341388.00,614,67.85,21.95,-14.60
27-October-2020,383.50,390.00,378.35,380.15,383.870164816683484695,2973,229,1141246.00,2048,68.89,11.65,-3.35
26-October-2020,372.00,384.00,359.35,375.80,367.697158081705150976,2252,231,828054.00,1936,85.97,24.65,3.80
23-October-2020,379.00,394.25,361.00,369.55,384.592221857564817853,6094,477,2343705.00,4184,68.66,33.25,-9.45
22-October-2020,350.05,397.60,335.05,375.45,372.487786467615792673,47693,2361,17765060.00,27121,56.87,62.55,25.40
21-October-2020,332.65,350.00,320.00,346.75,339.608030431107354184,11830,476,4017563.00,5732,48.45,30.00,14.10
20-October-2020,336.50,336.50,336.50,336.50,336.496000000000000000,125,6,42062.00,100,80.00,0.00,0.00
19-October-2020,336.30,336.30,327.00,329.00,329.214285714285714285,14,5,4609.00,7,50.00,9.30,-7.30
16-October-2020,324.30,324.30,324.30,324.30,324.300000000000000000,200,2,64860.00,200,100.00,0.00,0.00
15-October-2020,329.95,329.95,319.65,322.05,324.064171122994652406,187,12,60600.00,177,94.65,10.30,-7.90
14-October-2020,314.50,331.00,314.50,320.30,320.002929573063552204,25601,66,8192395.00,25531,99.73,16.50,5.80
13-October-2020,317.50,317.90,315.00,317.85,317.238493723849372384,478,31,151640.00,278,58.16,2.90,0.35
12-October-2020,317.20,318.40,315.00,317.50,317.879839786381842456,749,23,238092.00,618,82.51,3.40,0.30
9-October-2020,322.40,324.45,322.35,324.45,322.483695652173913043,736,11,237348.00,736,100.00,2.10,2.05
8-October-2020,322.90,322.90,322.90,322.90,322.900000000000000000,10,1,3229.00,10,100.00,0.00,0.00
7-October-2020,330.00,334.00,324.75,325.15,329.674528301886792452,212,24,69891.00,108,50.94,9.25,-4.85
6-October-2020,338.10,339.00,325.90,326.40,332.912359550561797752,2225,78,740730.00,1516,68.13,13.10,-11.70
5-October-2020,315.00,344.00,315.00,334.75,329.514382402707275803,591,83,194743.00,547,92.55,29.00,19.75
1-October-2020,318.90,329.80,317.30,318.20,319.990147783251231527,406,35,129916.00,244,60.10,12.50,-0.70
30-September-2020,307.00,314.85,307.00,314.70,310.993710691823899371,636,63,197792.00,410,64.47,7.85,7.70
29-September-2020,313.95,316.50,309.90,315.55,314.139149242970439798,1387,69,435711.00,1174,84.64,6.60,1.60
28-September-2020,312.55,319.00,310.60,310.90,312.157894736842105263,988,53,308412.00,783,79.25,8.40,-1.65
25-September-2020,309.15,315.30,305.00,315.30,309.233480176211453744,227,11,70196.00,159,70.04,10.30,6.15
24-September-2020,306.00,314.80,298.20,300.50,304.898107714701601164,687,33,209465.00,204,29.69,16.60,-5.50
23-September-2020,312.75,336.00,304.40,307.35,321.436006696088875361,6571,98,2112156.00,1110,16.89,31.60,-5.40
22-September-2020,315.00,320.00,296.70,319.30,303.291200483822195343,3307,106,1002984.00,2647,80.04,23.30,4.30
21-September-2020,318.00,335.00,318.00,319.30,324.056787242318164138,2571,93,833150.00,791,30.77,17.00,1.30
18-September-2020,323.55,323.85,317.30,317.60,320.247058823529411764,85,12,27221.00,57,67.06,6.55,-5.95
17-September-2020,324.50,331.10,300.55,322.60,324.979746835443037974,395,53,128367.00,259,65.57,30.55,-1.90
16-September-2020,318.00,334.95,318.00,330.00,328.834383954154727793,1745,114,573816.00,1615,92.55,16.95,12.00
15-September-2020,344.70,344.70,317.60,323.55,329.161224489795918367,490,81,161289.00,285,58.16,27.10,-21.15
14-September-2020,332.90,343.00,332.90,339.45,337.723656530885446548,5229,124,1765957.00,3990,76.31,10.10,6.55
11-September-2020,340.45,340.45,324.40,324.50,329.867768595041322314,121,8,39914.00,91,75.21,16.05,-15.95
10-September-2020,320.40,344.00,318.45,330.85,334.853480774063835134,3979,214,1332382.00,2436,61.22,25.55,10.45
9-September-2020,305.70,326.40,303.00,321.25,312.677861209670764914,12119,77,3789343.00,1148,9.47,23.40,15.55
8-September-2020,305.50,315.60,305.05,310.05,312.373271889400921658,651,15,203355.00,410,62.98,10.55,4.55
7-September-2020,307.50,310.00,302.20,308.60,307.522857142857142857,700,27,215266.00,403,57.57,7.80,1.10
4-September-2020,309.00,322.40,304.00,313.55,315.114285714285714285,280,15,88232.00,250,89.29,18.40,4.55
3-September-2020,317.70,330.95,301.10,313.50,320.141032464076636508,1879,202,601545.00,1085,57.74,29.85,-4.20
2-September-2020,301.50,309.10,301.50,309.05,305.422680412371134020,97,4,29626.00,50,51.55,7.60,7.55
1-September-2020,305.00,305.00,297.60,304.35,303.239234449760765550,209,8,63377.00,197,94.26,7.40,-0.65
31-August-2020,312.00,312.85,296.00,300.75,302.720118782479584261,1347,100,407764.00,869,64.51,16.85,-11.25
28-August-2020,324.00,325.00,308.10,314.20,322.401719901719901719,1628,129,524870.00,1206,74.08,16.90,-9.80
27-August-2020,325.00,332.95,325.00,329.95,329.253383865728207904,3694,193,1216262.00,2828,76.56,7.95,4.95
26-August-2020,316.00,326.70,316.00,326.35,323.769855229332972534,7391,321,2392983.00,6931,93.78,10.70,10.35
25-August-2020,317.60,324.45,307.00,316.20,317.754878629224178962,2101,124,667603.00,826,39.31,17.45,-1.40
24-August-2020,316.00,329.90,316.00,324.80,323.717271051014136447,3254,196,1053376.00,2149,66.04,13.90,8.80
21-August-2020,311.65,322.50,310.05,315.80,316.238017206063088897,2441,58,771937.00,1756,71.94,12.45,4.15
20-August-2020,302.00,320.00,301.10,319.90,317.187242798353909465,4860,241,1541530.00,4384,90.21,18.90,17.90
19-August-2020,309.00,315.00,308.15,314.45,313.704743465634075508,2066,164,648114.00,2002,96.90,6.85,5.45
18-August-2020,305.60,309.85,300.10,306.85,307.539303482587064676,3015,93,927231.00,2421,80.30,9.75,1.25
17-August-2020,297.35,309.00,288.60,303.90,306.720924603654846907,8263,269,2534435.00,4618,55.89,20.40,6.55
14-August-2020,304.00,307.00,285.60,303.05,301.333442773655525641,15229,211,4589007.00,7996,52.50,21.40,-0.95
13-August-2020,299.40,312.00,285.35,307.90,302.868173543689320388,13184,314,3993014.00,7285,55.26,26.65,8.50
12-August-2020,290.00,297.60,289.00,295.35,294.520388349514563106,515,60,151678.00,402,78.06,8.60,5.35
11-August-2020,291.00,320.00,291.00,291.20,304.160953800298062593,2013,115,612276.00,1347,66.92,29.00,0.20
10-August-2020,258.30,299.00,248.00,291.35,278.665100886089463008,28101,509,7830768.00,7242,25.77,51.00,33.05
7-August-2020,253.00,264.85,252.15,263.00,257.130434782608695652,552,80,141936.00,515,93.30,12.70,10.00
6-August-2020,253.15,255.95,249.00,250.65,254.613908872901678657,1251,209,318522.00,1090,87.13,6.95,-2.50
5-August-2020,242.00,275.00,242.00,252.85,262.816901408450704225,8946,219,2351160.00,4493,50.22,33.00,10.85
4-August-2020,243.50,253.00,243.35,253.00,248.259052924791086350,359,71,89125.00,241,67.13,9.65,9.50
3-August-2020,259.00,259.00,237.25,243.50,243.067183462532299741,1935,106,470335.00,1883,97.31,21.75,-15.50
31-July-2020,249.55,250.40,235.00,247.00,248.048275862068965517,1595,141,395637.00,1234,77.37,15.40,-2.55
30-July-2020,263.60,269.90,252.00,259.95,260.193750000000000000,640,46,166524.00,365,57.03,17.90,-3.65
29-July-2020,250.00,274.00,245.60,257.20,262.308574048601558917,2181,207,572095.00,1270,58.23,28.40,7.20
28-July-2020,254.75,264.95,254.75,257.70,258.884792626728110599,868,87,224712.00,703,80.99,10.20,2.95
27-July-2020,243.10,267.00,237.00,262.40,257.960801393728222996,1148,56,296139.00,978,85.19,30.00,19.30
