Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-January-2021,689.45,690.80,680.20,682.30,685.040994933210502072,2171,185,1487224.00,1625,74.85,10.60,-7.15
6-January-2021,690.00,692.70,680.00,682.50,684.497214484679665738,3590,287,2457345.00,2898,80.72,12.70,-7.50
5-January-2021,687.30,697.50,686.00,689.70,690.147870662460567823,2536,278,1750215.00,1807,71.25,11.50,2.40
4-January-2021,693.00,698.00,687.00,691.60,690.969105113636363636,2816,281,1945769.00,1838,65.27,11.00,-1.40
1-January-2021,684.40,698.00,684.40,689.35,689.876683203401842664,1411,218,973416.00,1147,81.29,13.60,4.95
31-December-2020,690.70,696.00,684.05,685.15,689.755025125628140703,2388,230,1647135.00,1488,62.31,11.95,-5.55
30-December-2020,699.65,699.65,687.55,689.40,690.583549783549783549,2310,197,1595248.00,1453,62.90,12.10,-10.25
29-December-2020,696.45,705.65,691.00,698.10,696.369517543859649122,2736,239,1905267.00,1650,60.31,14.65,1.65
28-December-2020,699.30,703.00,692.55,695.40,697.650581793292265571,2922,257,2038535.00,1943,66.50,10.45,-3.90
24-December-2020,703.30,710.80,690.00,694.35,698.215201900237529691,4210,536,2939486.00,3171,75.32,20.80,-8.95
23-December-2020,706.80,718.00,700.80,702.65,705.566740823136818687,3596,310,2537218.00,2684,74.64,17.20,-4.15
22-December-2020,694.90,707.70,675.55,705.15,693.051478889139760668,4429,562,3069525.00,2928,66.11,32.15,10.25
21-December-2020,712.00,743.40,690.10,693.65,716.715827909191935227,18897,1779,13543779.00,8932,47.27,53.30,-18.35
18-December-2020,696.55,718.00,694.00,711.60,704.122781282088895408,6817,631,4800005.00,4002,58.71,24.00,15.05
17-December-2020,724.70,724.70,695.00,698.50,706.429779600205023065,3902,476,2756489.00,2176,55.77,29.70,-26.20
16-December-2020,703.50,727.10,703.50,710.00,718.090482287665386256,7029,799,5047458.00,4356,61.97,23.60,6.50
15-December-2020,694.95,770.00,686.95,710.95,720.283821628608358466,27852,2658,20061345.00,10292,36.95,83.05,16.00
14-December-2020,693.00,705.75,686.00,686.95,691.102760463045414069,5615,441,3880542.00,3763,67.02,19.75,-6.05
11-December-2020,661.00,710.00,660.20,693.65,695.527475797038427208,43693,3869,30389682.00,17325,39.65,49.80,32.65
10-December-2020,654.20,662.00,648.05,659.30,658.694958701224722301,3511,313,2312678.00,1708,48.65,13.95,5.10
9-December-2020,661.50,661.50,652.25,657.20,656.876131367985518489,3867,302,2540140.00,2800,72.41,9.25,-4.30
8-December-2020,668.70,668.70,646.00,662.20,654.899097965177260331,4767,422,3121904.00,3201,67.15,22.70,-6.50
7-December-2020,645.95,667.00,645.95,660.80,658.098110997217747840,6829,810,4494152.00,5170,75.71,21.05,14.85
4-December-2020,646.70,648.00,639.20,643.80,643.821603128054740957,2046,231,1317259.00,1028,50.24,8.80,-2.90
3-December-2020,644.35,647.00,639.15,643.65,643.645103324348607367,2226,277,1432754.00,1354,60.83,7.85,-0.70
2-December-2020,641.00,650.50,630.70,641.60,643.739957340917170280,5626,535,3621681.00,2797,49.72,19.80,0.60
1-December-2020,645.00,659.60,639.00,641.25,647.339447731755424063,5070,401,3282011.00,3582,70.65,20.60,-3.75
27-November-2020,655.75,662.00,650.50,652.00,657.121767748001880582,2127,305,1397698.00,1254,58.96,11.50,-3.75
26-November-2020,645.35,664.75,643.20,655.95,651.950762829403606102,2884,372,1880226.00,1490,51.66,21.55,10.60
25-November-2020,664.90,669.15,642.00,643.30,653.628354567633505014,3689,505,2411235.00,2301,62.37,27.15,-21.60
24-November-2020,629.00,698.00,624.70,665.00,662.550661000944287063,42360,4127,28065646.00,13861,32.72,73.30,36.00
23-November-2020,629.40,630.95,623.05,626.20,628.203001250521050437,2399,379,1507059.00,1565,65.24,7.90,-3.20
20-November-2020,620.15,633.65,620.15,629.40,628.771730618637431480,2554,272,1605883.00,1358,53.17,13.50,9.25
19-November-2020,624.50,628.80,616.00,624.65,623.682547282738807756,4177,382,2605122.00,1603,38.38,12.80,0.15
18-November-2020,619.20,628.45,619.20,623.70,623.472149695387293298,2298,211,1432739.00,1358,59.09,9.25,4.50
17-November-2020,623.05,626.00,621.00,623.00,624.328898263832549083,6163,611,3847739.00,3895,63.20,5.00,-0.05
14-November-2020,624.80,634.00,612.95,621.70,622.702085728362621120,6089,307,3791633.00,5064,83.17,21.05,-3.10
13-November-2020,621.55,624.65,620.00,621.50,622.985448666127728375,2474,182,1541266.00,1829,73.93,4.65,-0.05
12-November-2020,615.15,623.70,614.00,619.90,618.323000216778668978,4613,314,2852324.00,3597,77.98,9.70,4.75
11-November-2020,624.95,627.00,615.00,617.20,619.606137745721962947,7071,609,4381235.00,6285,88.88,12.00,-7.75
