Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-January-2021,537.30,550.55,536.20,546.70,543.937295391859495965,931048,10876,506431731.00,281324,30.22,14.35,9.40
5-January-2021,527.35,539.95,522.80,537.05,529.266559493572393248,719708,7540,380917377.00,275532,38.28,17.15,9.70
4-January-2021,531.30,535.00,524.05,531.65,530.482106148291042192,1010850,13489,536237837.00,493585,48.83,10.95,0.35
1-January-2021,534.80,536.40,526.40,527.55,530.052779678436092539,363909,5253,192890977.00,113370,31.15,10.00,-7.25
31-December-2020,530.00,538.40,526.65,534.80,534.553958504798310753,861449,9963,460490973.00,449254,52.15,11.75,4.80
30-December-2020,532.60,532.85,524.60,528.45,527.373530783689793882,866108,13318,456762434.00,422920,48.83,8.25,-4.15
29-December-2020,522.80,530.80,517.75,528.95,523.236342788443264413,1420678,18254,743350361.00,937675,66.00,13.05,6.15
28-December-2020,516.45,521.15,514.05,520.20,518.026172491726160063,869004,12341,450166816.00,524778,60.39,7.10,3.75
24-December-2020,507.20,515.90,506.10,513.65,512.350599808145931202,851689,12267,436363370.00,451270,52.99,9.80,6.45
23-December-2020,499.00,505.40,496.30,503.60,501.679962251443462631,976991,11699,490136808.00,533786,54.64,9.10,4.60
22-December-2020,495.10,501.75,489.00,500.50,496.235211239458011910,900684,12309,446951115.00,278930,30.97,12.75,5.40
21-December-2020,515.40,515.40,488.30,494.35,503.762876298146444064,1103015,17372,555658009.00,469406,42.56,27.10,-21.05
18-December-2020,514.70,518.20,509.35,517.05,513.447826281262716189,850294,7982,436581606.00,350061,41.17,8.85,2.35
17-December-2020,514.00,516.45,509.05,509.90,511.782622466216216216,776704,6214,397503610.00,322822,41.56,7.40,-4.10
16-December-2020,520.80,521.35,511.10,512.25,515.370096151574570625,634935,7424,327226512.00,188172,29.64,10.25,-8.55
15-December-2020,524.90,524.90,513.15,517.90,516.748126249311771979,1440293,12788,744268709.00,765616,53.16,11.75,-7.00
14-December-2020,517.25,527.90,517.25,525.85,523.675927880809001703,1667240,10217,873093454.00,1008244,60.47,10.65,8.60
11-December-2020,508.50,516.90,506.15,515.20,511.537110963658721165,1201141,14086,614428197.00,571501,47.58,10.75,6.70
10-December-2020,508.50,514.40,498.80,506.95,506.065870478296515555,1011151,13521,511709011.00,446872,44.19,15.60,-1.55
9-December-2020,511.40,514.95,506.10,511.30,510.141455219698827466,901211,16256,459745091.00,353595,39.24,8.85,-0.10
8-December-2020,511.70,511.70,505.30,508.50,507.837119013904686738,1033896,20754,525050766.00,570617,55.19,6.40,-3.20
7-December-2020,504.10,515.50,504.10,510.65,509.362744318541809792,1609886,27481,820015951.00,707076,43.92,11.40,6.55
4-December-2020,484.45,504.00,483.10,502.15,494.540420013312342425,2357211,35527,1165736118.00,1271903,53.96,20.90,17.70
3-December-2020,481.70,484.80,479.00,481.90,482.490744831632635027,1980461,15751,955554103.00,1199642,60.57,5.80,0.20
2-December-2020,487.00,487.00,472.20,480.45,478.435581497406592996,856788,14265,409917865.00,168815,19.70,14.80,-6.55
1-December-2020,483.00,488.50,474.15,485.25,482.409157336296724792,525524,7351,253517590.00,196818,37.45,14.35,2.25
27-November-2020,475.60,479.30,471.00,472.80,475.726528008488760603,1424943,16768,677883186.00,735366,51.61,8.30,-2.80
26-November-2020,474.20,477.05,465.95,475.40,471.477580950140684513,884248,12431,416903108.00,355390,40.19,11.10,1.20
25-November-2020,483.00,489.80,471.30,472.65,482.860305250200512110,1865224,28810,900642630.00,585494,31.39,18.50,-10.35
24-November-2020,473.10,479.70,471.15,478.30,475.515728656612122836,1376691,18614,654638224.00,730794,53.08,8.55,5.20
23-November-2020,480.40,483.20,466.60,468.30,472.332983823108878072,1300868,23225,614442864.00,493419,37.93,16.60,-12.10
20-November-2020,478.65,483.25,468.30,480.20,475.327595022544014830,1097187,15963,521523258.00,513680,46.82,14.95,1.55
19-November-2020,490.00,493.25,476.00,478.35,486.798015684072161382,982908,11937,478477664.00,324674,33.03,17.25,-11.65
18-November-2020,489.00,499.00,486.65,497.45,492.272270153475187070,1249127,12666,614910584.00,668977,53.56,12.35,8.45
17-November-2020,487.00,493.15,478.45,486.20,483.328535635548348385,1176606,15123,568687255.00,585979,49.80,14.70,-0.80
14-November-2020,489.90,489.90,484.55,486.75,487.738518950720832421,164532,4416,80248594.00,68613,41.70,5.35,-3.15
13-November-2020,473.50,486.80,467.70,485.40,476.141941761227846752,1820162,12490,866655469.00,1107965,60.87,19.10,11.90
12-November-2020,481.00,483.40,471.60,476.30,477.105993006520282934,976338,10557,465816711.00,350211,35.87,11.80,-4.70
11-November-2020,484.50,490.50,472.25,486.50,482.961162718343037468,2474890,36196,1195275752.00,1012413,40.91,18.25,2.00
10-November-2020,484.25,486.50,472.80,483.90,477.539558133177215690,2300829,33350,1098736864.00,1167600,50.75,13.70,-0.35
9-November-2020,449.20,464.65,449.15,462.70,458.164098995167346878,2182652,29114,1000012787.00,948538,43.46,15.50,13.50
6-November-2020,439.95,444.90,436.40,443.10,440.635176687450826251,1508681,15189,664777919.00,762168,50.52,8.50,3.15
5-November-2020,444.00,445.50,435.65,438.30,440.066200346974127911,1536714,20224,676255891.00,729000,47.44,9.85,-5.70
4-November-2020,436.00,442.10,425.15,437.25,434.478395596943131600,1810742,28247,786728279.00,692859,38.26,16.95,1.25
3-November-2020,424.20,447.00,424.10,444.25,436.478666919843782876,1948570,26231,850509236.00,809954,41.57,22.90,20.05
2-November-2020,417.95,422.85,407.20,417.10,414.680447113217416877,2489034,29401,1032153732.00,911761,36.63,15.65,-0.85
30-October-2020,400.70,402.85,388.10,392.55,394.832913057469274384,1062794,16379,419626051.00,274455,25.82,14.75,-8.15
29-October-2020,391.60,401.90,389.60,399.90,397.059317021278488207,1124281,18125,446406246.00,329252,29.29,12.30,8.30
28-October-2020,412.50,412.50,395.00,396.15,404.050473670491024720,1400235,11239,565765615.00,874340,62.44,17.50,-16.35
27-October-2020,404.55,412.25,393.00,409.85,404.477867356744303483,1081231,15745,437334009.00,294433,27.23,19.25,5.30
26-October-2020,417.55,418.95,401.50,404.95,407.043182573432588093,562727,8365,229054189.00,160094,28.45,17.45,-12.60
23-October-2020,416.20,420.55,411.60,416.85,416.367253435260189151,754528,10306,314160751.00,240316,31.85,8.95,0.65
22-October-2020,416.90,419.45,407.70,412.95,414.012113426177645038,790858,14367,327424792.00,197863,25.02,11.75,-3.95
21-October-2020,416.00,428.25,410.40,420.35,421.411800618259931898,1058131,12593,445908890.00,188596,17.82,17.85,4.35
20-October-2020,413.95,416.85,410.80,414.55,413.800340131179806144,627993,6274,259863717.00,128975,20.54,6.05,0.60
19-October-2020,400.10,418.70,400.10,417.05,413.164104307473593872,1261923,17327,521381286.00,399463,31.66,18.60,16.95
16-October-2020,394.20,401.30,390.55,395.95,395.916655924804643271,574078,6342,227287042.00,88688,15.45,10.75,1.75
15-October-2020,407.00,409.85,389.20,390.90,402.860786163316730531,1838244,20335,740556423.00,1005335,54.69,20.65,-16.10
14-October-2020,394.15,409.00,389.00,406.80,398.141184968755460363,555137,6920,221022903.00,116693,21.02,20.00,12.65
13-October-2020,401.60,401.60,393.55,396.15,396.420489507668330633,470963,5936,186699383.00,108849,23.11,8.05,-5.45
12-October-2020,404.25,409.95,400.55,403.85,405.656825078845563016,1275912,23134,517582411.00,554706,43.48,9.40,-0.40
9-October-2020,388.60,403.50,386.80,401.65,397.838800516334028398,2517750,41889,1001658640.00,1295652,51.46,16.70,13.05
8-October-2020,385.00,389.60,382.75,387.55,387.408161527642008845,1221438,20045,473195050.00,597725,48.94,6.85,2.55
7-October-2020,379.90,384.20,374.15,382.95,380.560695409819349795,529587,6873,201539997.00,140526,26.54,10.05,3.05
6-October-2020,376.50,381.60,375.05,380.45,378.502488685779064927,903288,14792,341896756.00,408541,45.23,6.55,3.95
5-October-2020,370.95,382.45,370.95,373.15,377.385473346117619954,737885,10261,278467080.00,160892,21.80,11.50,2.20
1-October-2020,357.50,370.95,357.50,369.15,366.662763118212271661,1541845,24515,565337148.00,797601,51.73,13.45,11.65
30-September-2020,357.05,357.35,349.50,354.90,354.826142493712940398,1027905,5799,364727566.00,674927,65.66,7.85,-2.15
29-September-2020,364.40,364.40,354.25,356.95,357.729218053346543947,383530,5315,137199887.00,63483,16.55,10.15,-7.45
28-September-2020,351.90,363.95,349.20,362.90,358.873773217555023733,654354,8839,234830489.00,214711,32.81,14.75,11.00
25-September-2020,338.10,350.40,336.55,348.50,343.051011295509411439,898056,14628,308079019.00,250317,27.87,13.85,10.40
24-September-2020,345.55,347.20,334.00,335.80,341.094015332197614991,587000,10332,200222187.00,213615,36.39,13.20,-9.75
23-September-2020,356.65,357.20,342.45,351.70,349.872701925487284027,845708,17950,295890143.00,283597,33.53,14.75,-4.95
22-September-2020,353.25,356.00,349.40,354.50,352.529993884101729107,1501006,22708,529149636.00,406104,27.06,6.60,1.25
21-September-2020,366.25,368.65,349.25,350.85,358.018075394993755693,1148246,30227,411092823.00,422420,36.79,19.40,-15.40
18-September-2020,370.85,374.60,364.80,369.90,371.226523213240178903,1395389,10721,518005407.00,817099,58.56,9.80,-0.95
17-September-2020,369.50,371.50,367.40,368.90,369.370012498798192481,561654,9620,207458145.00,139991,24.92,4.10,-0.60
16-September-2020,372.70,376.75,365.00,374.75,371.426487391232903933,523366,6472,194391995.00,97631,18.65,11.75,2.05
15-September-2020,363.65,372.00,363.65,371.45,369.624278750141485316,768631,9370,284104679.00,212958,27.71,8.35,7.80
14-September-2020,373.00,373.90,359.60,363.65,367.520231517705487732,665867,8354,244719594.00,236044,35.45,14.30,-9.35
11-September-2020,372.50,373.90,365.10,370.15,369.613140199049557765,1133788,8467,419062943.00,669093,59.01,8.80,-2.35
10-September-2020,372.00,375.00,365.55,370.45,371.501883151845755685,1498817,17922,556813338.00,743243,49.59,9.45,-1.55
9-September-2020,369.30,372.35,362.10,367.75,366.902126114284398657,955546,18847,350591859.00,239740,25.09,10.25,-1.55
8-September-2020,371.55,381.10,369.80,375.90,377.583833528377941922,1430442,12089,540111774.00,739044,51.67,11.30,4.35
7-September-2020,373.30,376.65,369.10,373.25,373.979734641268923486,1203729,16029,450170252.00,506358,42.07,7.55,-0.05
4-September-2020,373.10,379.30,368.70,372.80,373.876120934873921095,1475108,24773,551507657.00,573379,38.87,10.60,-0.30
3-September-2020,392.80,392.80,381.30,382.75,385.145388744177304298,563957,7356,217205438.00,155903,27.64,11.50,-10.05
2-September-2020,386.00,393.80,381.15,392.25,388.123765678100040381,1322386,18360,513249434.00,404988,30.63,12.65,6.25
1-September-2020,394.15,399.60,385.25,391.10,391.732356693098719255,1984081,28122,777228726.00,828395,41.75,14.35,-3.05
