Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-November-2020,106.70,107.50,103.00,105.05,105.211180124223602484,644,44,67756.00,492,76.40,4.50,-1.65
6-November-2020,103.90,106.55,103.40,104.85,105.055031446540880503,636,45,66815.00,494,77.67,3.15,0.95
5-November-2020,103.90,103.90,99.70,101.90,101.890295358649789029,237,24,24148.00,237,100.00,4.20,-2.00
4-November-2020,99.35,99.35,99.15,99.15,99.285714285714285714,7,3,695.00,6,85.71,0.20,-0.20
3-November-2020,99.00,99.65,99.00,99.35,99.215297450424929178,3177,94,315207.00,1561,49.13,0.65,0.35
2-November-2020,99.50,99.50,97.65,98.45,98.470243330401641747,3411,74,335882.00,704,20.64,1.85,-1.05
30-October-2020,100.15,100.20,99.20,100.00,99.914893617021276595,329,44,32872.00,327,99.39,1.00,-0.15
29-October-2020,98.00,101.45,97.55,99.20,99.207185628742514970,835,75,82838.00,686,82.16,3.90,1.20
28-October-2020,102.05,102.35,100.95,101.50,101.151515151515151515,33,5,3338.00,32,96.97,1.40,-0.55
27-October-2020,102.10,102.10,99.00,100.95,101.620967741935483870,496,17,50404.00,485,97.78,3.10,-1.15
26-October-2020,102.45,102.45,100.10,101.15,101.492957746478873239,71,10,7206.00,58,81.69,2.35,-1.30
23-October-2020,102.90,103.80,100.95,103.55,101.870486839040298159,4293,83,437330.00,802,18.68,2.85,0.65
22-October-2020,99.95,101.80,97.05,101.40,100.017921146953405017,1395,23,139525.00,907,65.02,4.75,1.45
21-October-2020,103.85,103.85,98.10,101.80,100.406037414965986394,2352,30,236155.00,2215,94.18,5.75,-2.05
20-October-2020,99.50,101.95,99.40,100.50,100.170212765957446808,235,12,23540.00,215,91.49,2.55,1.00
19-October-2020,101.00,103.75,99.20,102.80,101.607090103397341211,677,47,68788.00,245,36.19,4.55,1.80
16-October-2020,101.90,101.90,99.15,100.40,100.008022922636103151,1745,23,174514.00,1731,99.20,2.75,-1.50
15-October-2020,102.90,102.90,100.60,100.70,100.703703703703703703,108,7,10876.00,104,96.30,2.30,-2.20
14-October-2020,100.75,101.90,99.15,101.90,99.739436619718309859,142,8,14163.00,141,99.30,2.75,1.15
13-October-2020,103.05,103.05,101.30,102.30,101.586402266288951841,353,13,35860.00,335,94.90,1.75,-0.75
12-October-2020,101.90,103.45,100.10,103.05,101.891061452513966480,358,26,36477.00,245,68.44,3.35,1.15
9-October-2020,100.95,103.30,100.05,101.90,101.873239436619718309,142,18,14466.00,84,59.15,3.25,0.95
8-October-2020,102.90,102.90,100.95,101.60,101.956043956043956043,91,7,9278.00,91,100.00,1.95,-1.30
6-October-2020,101.10,102.90,100.40,100.90,100.990384615384615384,416,18,42012.00,391,93.99,2.50,-0.20
5-October-2020,102.25,102.25,102.25,102.25,102.000000000000000000,1,1,102.00,1,100.00,0.00,0.00
1-October-2020,101.90,102.50,99.85,100.25,100.865979381443298969,679,18,68488.00,677,99.71,2.65,-1.65
30-September-2020,100.00,101.30,100.00,101.30,100.053719008264462809,242,12,24213.00,225,92.98,1.30,1.30
29-September-2020,107.60,107.65,98.10,99.20,101.539664804469273743,1790,79,181756.00,1680,93.85,9.55,-8.40
28-September-2020,103.00,103.50,101.50,102.45,102.100000000000000000,10,5,1021.00,5,50.00,2.00,-0.55
25-September-2020,99.05,101.00,97.80,101.00,99.229281767955801104,724,25,71842.00,510,70.44,3.20,1.95
24-September-2020,97.80,97.80,97.80,97.80,97.500000000000000000,2,1,195.00,2,100.00,0.00,0.00
