,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,2018-04-09,67.339996,68.379997,67.099998,67.43,63.90023000000001,746300,0.0
1,1,2018-04-10,68.269997,68.730003,67.879997,68.370003,64.791039,1109300,1.9862512365254688
2,2,2018-04-11,67.800003,68.300003,67.489998,68.050003,64.487778,665200,2.004702424480422
3,3,2018-04-12,68.25,68.989998,68.120003,68.559998,64.97107700000001,683000,1.9925613329218594
4,4,2018-04-13,69.010002,69.230003,68.32,68.449997,64.866837,847100,2.0016070270974593
5,5,2018-04-16,68.959999,69.879997,68.849998,69.279999,65.653389,561800,1.9880196014437008
6,6,2018-04-17,69.860001,70.18,69.5,69.650002,66.004028,1052000,1.9946876814160035
7,7,2018-04-18,69.83000200000001,70.220001,69.480003,69.82,66.165123,865400,1.9975651962188485
8,8,2018-04-19,69.839996,70.410004,69.639999,70.099998,66.430481,870200,1.9960057345508055
9,9,2018-04-20,70.230003,70.410004,69.5,69.970001,66.307266,932400,2.0018578962146933
10,10,2018-04-23,69.970001,70.339996,69.470001,70.269997,66.59156800000001,725100,1.9957308095516213
11,11,2018-04-24,70.449997,70.5,68.940002,69.559998,65.91873199999999,703600,2.01020700144356
12,12,2018-04-25,69.540001,69.839996,68.690002,69.379997,65.74816899999999,856300,2.002594422135821
13,13,2018-04-26,69.589996,70.660004,68.699997,70.230003,66.55366500000001,989500,1.9878968252357903
14,14,2018-04-27,69.970001,70.760002,69.809998,70.620003,66.92325600000001,540800,1.9944774853662923
15,15,2018-04-30,70.660004,70.940002,69.980003,69.989998,66.326233,841600,2.009001357593981
16,16,2018-05-01,69.949997,70.059998,69.099998,69.910004,66.250427,1095800,2.001144242532156
17,17,2018-05-02,68.720001,69.800003,67.019997,68.639999,65.046898,2198000,2.018502404115711
18,18,2018-05-03,68.199997,68.83000200000001,67.150002,68.559998,64.97107700000001,1374100,2.001166875763328
19,19,2018-05-04,68.139999,69.16999799999999,67.779999,68.940002,65.331192,815200,1.9944879026838436
20,20,2018-05-07,68.910004,69.360001,68.599998,69.019997,65.407005,723700,1.9988409880690086
21,21,2018-05-08,68.620003,69.0,68.489998,68.709999,65.11322,921000,2.0045116868652553
22,22,2018-05-09,68.790001,69.059998,68.0,68.660004,65.065849,696400,2.0007281531763383
23,23,2018-05-10,68.779999,69.32,68.519997,69.260002,65.63443000000001,1026300,1.9913370201750789
24,24,2018-05-11,69.16999799999999,69.519997,68.639999,68.739998,65.141663,766000,2.007564795099354
25,25,2018-05-14,68.970001,69.16999799999999,67.510002,67.550003,64.013954,825600,2.0176165055092596
26,26,2018-05-15,67.230003,67.760002,66.699997,66.860001,63.360069,793900,2.0103201015507017
27,27,2018-05-16,66.900002,67.209999,66.529999,66.620003,63.132645,745000,2.0036024915819954
28,28,2018-05-17,66.470001,67.099998,66.220001,66.940002,63.43589,998600,1.9952196147230468
29,29,2018-05-18,66.970001,67.790001,66.809998,67.529999,63.99501,1179100,1.9912631866024464
30,30,2018-05-21,67.66999799999999,68.25,67.66999799999999,68.110001,64.54464,613500,1.9914843342903488
31,31,2018-05-22,68.099998,68.400002,67.940002,68.139999,64.57306700000001,532900,1.999559759312588
32,32,2018-05-23,67.900002,68.199997,67.629997,68.010002,64.449883,582200,2.0019114394379813
33,33,2018-05-24,67.889999,68.18,67.66999799999999,68.150002,64.582542,866400,1.9979457080573528
34,34,2018-05-25,67.980003,68.099998,67.239998,67.620003,64.080299,726800,2.0078379026395488
35,35,2018-05-29,66.940002,67.230003,65.470001,65.800003,62.355564,1039000,2.02765957320701
36,36,2018-05-30,66.230003,67.260002,66.16999799999999,66.980003,63.473804,1226900,1.9823828016251361
37,37,2018-05-31,66.5,67.010002,66.099998,66.279999,63.197281,1418200,2.0105613157900013
38,38,2018-06-01,66.93,67.089996,66.199997,66.230003,63.149612,1136400,2.000754884459238
39,39,2018-06-04,66.559998,66.760002,66.25,66.470001,63.37844499999999,699300,1.996389378721387
40,40,2018-06-05,66.339996,66.510002,65.790001,66.400002,63.31171,534600,2.0010542017754758
41,41,2018-06-06,66.58000200000001,66.91999799999999,66.290001,66.910004,63.797985,721200,1.9923777915182905
42,42,2018-06-07,67.0,67.32,66.839996,67.239998,64.112625,552100,1.9950922961062552
43,43,2018-06-08,67.230003,67.790001,67.160004,67.779999,64.62751800000001,527300,1.9920330332256273
44,44,2018-06-11,67.910004,67.959999,67.120003,67.239998,64.112625,833700,2.0080309490788504
45,45,2018-06-12,67.300003,67.300003,66.349998,66.370003,63.283092,711500,2.0131082561499962
46,46,2018-06-13,66.5,67.110001,66.150002,66.160004,63.082863,942800,2.0031741080305863
47,47,2018-06-14,66.519997,66.550003,65.790001,65.980003,62.911251,741300,2.0027281144561333
48,48,2018-06-15,65.779999,65.900002,64.779999,65.809998,62.74913000000001,1618300,2.0025832700982606
49,49,2018-06-18,65.849998,66.559998,65.470001,66.389999,63.302162,1001400,1.9912637293457407
50,50,2018-06-19,65.849998,66.349998,65.75,66.019997,62.949375,903400,2.0056043928629683
51,51,2018-06-20,66.110001,66.449997,65.41999799999999,65.550003,62.50124,936400,2.007170007299618
52,52,2018-06-21,65.360001,65.75,65.160004,65.519997,62.472626,1342200,2.000457967053936
53,53,2018-06-22,66.0,67.139999,65.720001,66.739998,63.635876,2609600,1.9817200923500178
54,54,2018-06-25,66.620003,66.83000200000001,65.959999,66.379997,63.292633,960000,2.0054233355870745
55,55,2018-06-26,66.449997,66.449997,65.860001,66.029999,62.958908,632500,2.005300590720893
56,56,2018-06-27,65.889999,66.25,64.75,64.769997,61.75751500000001,685600,2.019453482451142
57,57,2018-06-28,64.769997,65.379997,64.540001,65.120003,62.091236,712600,1.9946252152353248
58,58,2018-06-29,65.43,65.790001,64.91999799999999,65.279999,62.243797,1891400,1.9975490808448082
59,59,2018-07-02,65.029999,65.68,65.0,65.260002,62.224728000000006,1026200,2.000306420462568
60,60,2018-07-03,65.699997,66.360001,65.440002,65.529999,62.48216600000001,457000,1.9958797954506304
61,61,2018-07-05,65.800003,66.120003,65.400002,66.089996,63.016113,754200,1.991526750886776
62,62,2018-07-06,66.150002,67.220001,66.010002,66.809998,63.702633,878700,1.9892231399258538
63,63,2018-07-09,66.910004,68.230003,66.910004,68.16999799999999,64.999382,721400,1.9800498747264155
64,64,2018-07-10,67.949997,68.110001,67.709999,68.040001,64.875427,664500,2.001910596679738
65,65,2018-07-11,67.900002,68.33000200000001,67.870003,68.190002,65.01844,783800,1.9978002493679352
66,66,2018-07-12,68.5,68.709999,68.099998,68.660004,65.466583,754800,1.993154646480941
67,67,2018-07-13,68.599998,68.93,68.410004,68.860001,65.65728,564300,1.997095599809823
68,68,2018-07-16,68.879997,69.57,68.82,69.459999,66.229385,810800,1.991361963595767
69,69,2018-07-17,69.760002,69.870003,69.190002,69.690002,66.44869200000001,585800,1.9966996270139294
70,70,2018-07-18,69.699997,70.540001,69.550003,70.5,67.221008,887300,1.9885106666666665
71,71,2018-07-19,70.139999,70.639999,70.139999,70.300003,67.030312,932400,2.002844907417714
72,72,2018-07-20,70.059998,70.57,69.879997,70.389999,67.116127,875600,1.9987214660991826
73,73,2018-07-23,70.389999,71.0,70.129997,70.790001,67.49752,918300,1.9943494562176938
74,74,2018-07-24,71.0,71.0,70.379997,70.510002,67.230537,863200,2.003971053638603
75,75,2018-07-25,70.379997,71.239998,70.370003,71.160004,67.850319,901200,1.9908656272700602
